id;cod_dep;departamento;cod_mun;municipio;vaginales;cesareas;partos_atendidos_personal_salud;tot_gral;cobertura
1;1;CHUQUISACA;10101;SUCRE;4162;2359;62;6583;0,65943106
2;1;CHUQUISACA;10102;YOTALA;104;5;2;111;0,341650037
3;1;CHUQUISACA;10103;POROMA;118;;134;252;0,413712775
4;1;CHUQUISACA;10201;AZURDUY;68;9;137;214;0,745963218
5;1;CHUQUISACA;10202;TARVITA;219;9;65;293;0,689933979
6;1;CHUQUISACA;10301;ZUDAÑEZ;64;2;26;92;0,491126686
7;1;CHUQUISACA;10302;PRESTO;28;;126;154;0,606491834
8;1;CHUQUISACA;10303;MOJOCOYA;78;;45;123;0,643935093
9;1;CHUQUISACA;10304;ICLA;78;;60;138;0,526454588
10;1;CHUQUISACA;10401;PADILLA;196;64;12;272;0,911518428
11;1;CHUQUISACA;10402;TOMINA;153;;19;172;0,64912456
12;1;CHUQUISACA;10403;SOPACHUY;98;24;28;150;0,704317145
13;1;CHUQUISACA;10404;ALCALA;35;;11;46;0,425789887
14;1;CHUQUISACA;10405;EL VILLAR;45;;8;53;0,519769385
15;1;CHUQUISACA;10501;MONTEAGUDO;402;188;28;618;0,880431618
16;1;CHUQUISACA;10502;HUACARETA;110;;19;129;0,528729355
17;1;CHUQUISACA;10601;TARABUCO;202;22;97;321;0,652355739
18;1;CHUQUISACA;10602;YAMPARAEZ;81;;11;92;0,433561478
19;1;CHUQUISACA;10701;CAMARGO;228;85;40;353;0,933137353
20;1;CHUQUISACA;10702;SAN LUCAS;349;5;310;664;0,755336826
21;1;CHUQUISACA;10703;INCAHUASI;136;1;172;309;0,785941403
22;1;CHUQUISACA;10704;VILLA CHARCAS;168;;113;281;0,944772331
23;1;CHUQUISACA;10801;VILLA SERRANO;139;;39;178;0,60896135
24;1;CHUQUISACA;10901;CAMATAQUI (C. VILLA ABECIA);28;;9;37;0,453189296
25;1;CHUQUISACA;10902;CULPINA;205;35;125;365;0,83341278
26;1;CHUQUISACA;10903;LAS CARRERAS;38;;5;43;0,460255692
27;1;CHUQUISACA;11001;VILLA VACA GUZMAN (MUYUPAMPA);117;;33;150;0,5178345
28;1;CHUQUISACA;11002;HUACAYA (VILLA DE HUACAYA);19;;12;31;0,476868676
29;1;CHUQUISACA;11003;MACHARETI;52;;17;69;0,299198909
30;2;LA PAZ ;20101;LA PAZ;12665;7001;27;19693;0,814077132
31;2;LA PAZ ;20102;PALCA;37;;63;100;0,238256675
32;2;LA PAZ ;20103;MECAPACA;45;;36;81;0,226747661
33;2;LA PAZ ;20104;ACHOCALLA;88;;11;99;0,21718411
34;2;LA PAZ ;20105;EL ALTO;12272;3027;52;15351;0,565238016
35;2;LA PAZ ;20201;ACHACACHI;328;25;216;569;0,440853106
36;2;LA PAZ ;20202;ANCORAIMES;79;;98;177;0,506608785
37;2;LA PAZ ;20203;HUARINA;19;;31;50;0,250513608
38;2;LA PAZ ;20204;SANTIAGO DE HUATA;11;;66;77;0,380662273
39;2;LA PAZ ;20301;CORO CORO;34;;76;110;0,479513983
40;2;LA PAZ ;20302;CAQUIAVIRI;23;;76;99;0,40318325
41;2;LA PAZ ;20303;CALACOTO;3;;59;62;0,339054558
42;2;LA PAZ ;20304;COMANCHE;1;;32;33;0,483416987
43;2;LA PAZ ;20305;CHARAÑA;4;;26;30;0,548353725
44;2;LA PAZ ;20306;WALDO BALLIVIAN;;;31;31;0,883765438
45;2;LA PAZ ;20307;NAZACARA DE PACAJES;3;;8;11;1,254358606
46;2;LA PAZ ;20308;SANTIAGO DE CALLAPA;25;;49;74;0,483771883
47;2;LA PAZ ;20401;PUERTO ACOSTA;19;;72;91;0,294636655
48;2;LA PAZ ;20402;MOCOMOCO;40;;109;149;0,549349787
49;2;LA PAZ ;20403;PUERTO CARABUCO;13;;112;125;0,368636961
50;2;LA PAZ ;20404;HUMANATA;6;;44;50;0,439411025
51;2;LA PAZ ;20405;ESCOMA;87;5;2;94;0,728522719
52;2;LA PAZ ;20501;CHUMA;35;;64;99;0,297965735
53;2;LA PAZ ;20502;AYATA;23;;98;121;0,495657625
54;2;LA PAZ ;20503;AUCAPATA;4;;27;31;0,417733575
55;2;LA PAZ ;20601;SORATA;136;;131;267;0,575231862
56;2;LA PAZ ;20602;GUANAY;150;;36;186;0,791246489
57;2;LA PAZ ;20603;TACACOMA;61;;11;72;0,618215124
58;2;LA PAZ ;20604;QUIABAYA;8;;23;31;0,541123122
59;2;LA PAZ ;20605;COMBAYA;4;;32;36;0,690768575
60;2;LA PAZ ;20606;TIPUANI;189;;;189;1,498642011
61;2;LA PAZ ;20607;MAPIRI;241;;36;277;1,410168547
62;2;LA PAZ ;20608;TEOPONTE;88;;40;128;0,882986929
63;2;LA PAZ ;20701;APOLO;145;;88;233;0,902683094
64;2;LA PAZ ;20702;PELECHUCO;18;;49;67;0,679539625
65;2;LA PAZ ;20801;VIACHA;501;8;94;603;0,512764231
66;2;LA PAZ ;20802;GUAQUI;38;;49;87;0,418190706
67;2;LA PAZ ;20803;TIAWANACU;122;;91;213;0,676100499
68;2;LA PAZ ;20804;DESAGUADERO;51;;31;82;0,652950275
69;2;LA PAZ ;20805;SAN ANDRES DE MACHACA;28;;30;58;0,364842505
70;2;LA PAZ ;20806;JESUS DE MACHACA;89;3;112;204;0,610185211
71;2;LA PAZ ;20807;TARACO;27;;19;46;0,278833716
72;2;LA PAZ ;20901;LURIBAY;49;;63;112;0,609664865
73;2;LA PAZ ;20902;SAPAHAQUI;26;;49;75;0,222706754
74;2;LA PAZ ;20903;YACO;23;;89;112;0,593898635
75;2;LA PAZ ;20904;MALLA;1;;38;39;0,346198974
76;2;LA PAZ ;20905;CAIROMA;59;;113;172;0,643704686
77;2;LA PAZ ;21001;INQUISIVI;16;;82;98;0,284867276
78;2;LA PAZ ;21002;QUIME;78;;29;107;0,759779961
79;2;LA PAZ ;21003;CAJUATA;106;;22;128;0,959734432
80;2;LA PAZ ;21004;COLQUIRI;109;;264;373;0,923059129
81;2;LA PAZ ;21005;ICHOCA;9;;20;29;0,204618756
