id;cod_dep;departamento;cod_mun;municipio;vaginales;cesareas;partos_atendidos_por_proveedor_calificado;partos_atendidos_por_personal_de_salud_calificado;tot_gral;cobertura;;;;
1;1;CHUQUISACA;10101;SUCRE                         ;4198;3196;2;88;7484;0,944472489;;;;
2;1;CHUQUISACA;10102;YOTALA                        ;85;11;2;2;100;0,775193798;;;;
3;1;CHUQUISACA;10103;POROMA                        ;127;0;68;56;251;0,794303797;;;;
4;1;CHUQUISACA;10201;AZURDUY                       ;100;0;38;53;191;0,848888889;;;;
5;1;CHUQUISACA;10202;TARVITA                       ;156;3;28;22;209;0,703703704;;;;
6;1;CHUQUISACA;10301;ZUDAÑEZ                       ;76;0;12;10;98;0,765625;;;;
7;1;CHUQUISACA;10302;PRESTO                        ;47;0;30;42;119;0,650273224;;;;
8;1;CHUQUISACA;10303;MOJOCOYA                      ;81;0;15;6;102;0,772727273;;;;
9;1;CHUQUISACA;10304;ICLA                          ;74;0;20;22;116;0,711656442;;;;
10;1;CHUQUISACA;10401;PADILLA                       ;163;88;7;5;263;0,775811209;;;;
11;1;CHUQUISACA;10402;TOMINA                        ;122;0;7;5;134;0,853503185;;;;
12;1;CHUQUISACA;10403;SOPACHUY                      ;99;3;9;8;119;0,832167832;;;;
13;1;CHUQUISACA;10404;ALCALA                        ;33;0;1;0;34;0,693877551;;;;
14;1;CHUQUISACA;10405;EL VILLAR                     ;44;0;0;3;47;0,810344828;;;;
15;1;CHUQUISACA;10501;MONTEAGUDO                    ;350;212;3;9;574;0,818830243;;;;
16;1;CHUQUISACA;10502;HUACARETA                     ;112;0;3;8;123;0,78343949;;;;
17;1;CHUQUISACA;10601;TARABUCO                      ;143;43;14;66;266;0,720867209;;;;
18;1;CHUQUISACA;10602;YAMPARAEZ                     ;64;0;6;3;73;0,675925926;;;;
19;1;CHUQUISACA;10701;CAMARGO                       ;226;91;7;17;341;0,764573991;;;;
20;1;CHUQUISACA;10702;SAN LUCAS                     ;367;20;38;181;606;0,792156863;;;;
21;1;CHUQUISACA;10703;INCAHUASI                     ;97;0;51;68;216;0,812030075;;;;
22;1;CHUQUISACA;10704;VILLA CHARCAS                 ;145;0;28;45;218;0,692063492;;;;
23;1;CHUQUISACA;10801;VILLA SERRANO                 ;80;0;5;12;97;0,602484472;;;;
