id;cod_depto;departamento;cod_mun;municipio;ce_menores_de_5_años;ce_mayores_de_5_años;ce_total_general;promedio_menor_de_5_años;promedio_mayor_de_5_años;promedio_general
1;1;CHUQUISACA;10101;SUCRE;187346;554684;742030;6,203867844;2,245503775;2,676701074
2;1;CHUQUISACA;10102;YOTALA;3671;8634;12305;3,571883021;0,957481116;1,224968112
3;1;CHUQUISACA;10103;POROMA;10899;14878;25777;4,314667044;0,934227055;1,397013814
4;1;CHUQUISACA;10201;AZURDUY;9579;9055;18634;6,401688934;0,922485247;1,647248248
5;1;CHUQUISACA;10202;TARVITA;12859;20801;33660;7,19739604;1,557191614;2,222568443
6;1;CHUQUISACA;10301;ZUDAÑEZ;4467;7509;11976;3,649030549;0,692554317;0,992489071
7;1;CHUQUISACA;10302;PRESTO;4712;9527;14239;2,740563038;0,83325535;1,082581146
8;1;CHUQUISACA;10303;MOJOCOYA;3297;8217;11514;3,147409834;1,092967928;1,344215725
9;1;CHUQUISACA;10304;ICLA;7004;11198;18202;7,535839524;1,52874329;2,205127994
10;1;CHUQUISACA;10401;PADILLA;7481;28761;36242;6,514893761;2,911698309;3,28694846
11;1;CHUQUISACA;10402;TOMINA;6413;14628;21041;6,052788258;1,837585765;2,332716355
12;1;CHUQUISACA;10403;SOPACHUY;5645;11229;16874;5,91480657;1,648921828;2,173283366
13;1;CHUQUISACA;10404;ALCALA;1870;5505;7375;3,36231545;1,183966625;1,416692163
14;1;CHUQUISACA;10405;EL VILLAR;2212;9816;12028;4,689373039;2,298336758;2,536151202
15;1;CHUQUISACA;10501;MONTEAGUDO;19786;58547;78333;6,995322103;2,547490161;3,034905338
16;1;CHUQUISACA;10502;HUACARETA;5096;12108;17204;4,668337572;1,556663015;1,939618417
17;1;CHUQUISACA;10601;TARABUCO;7146;13345;20491;3,555683318;0,835231143;1,139189276
18;1;CHUQUISACA;10602;YAMPARAEZ;2370;8308;10678;2,121310675;0,863753928;0,994624117
19;1;CHUQUISACA;10701;CAMARGO;6975;21489;28464;3,759519597;1,456514517;1,713769108
20;1;CHUQUISACA;10702;SAN LUCAS;18981;34305;53286;4,023133994;1,15104442;1,543567354
21;1;CHUQUISACA;10703;INCAHUASI;8831;8359;17190;4,456662741;0,703470022;1,23989722
22;1;CHUQUISACA;10704;VILLA CHARCAS;7668;10365;18033;3,168318783;0,703845815;1,051704727
23;1;CHUQUISACA;10801;VILLA SERRANO;8940;12522;21462;6,904277606;1,185947473;1,8106051
24;1;CHUQUISACA;10901;CAMATAQUI (C. VILLA ABECIA);1106;3883;4989;2,517515497;1,179334528;1,336868001
25;1;CHUQUISACA;10902;CULPINA;9145;15592;24737;3,795417263;0,950015044;1,314269934
26;1;CHUQUISACA;10903;LAS CARRERAS;2059;5920;7979;4,773745333;1,513674471;1,837492703
27;1;CHUQUISACA;11001;VILLA VACA GUZMAN (MUYUPAMPA);4390;11420;15810;3,625759632;1,252806473;1,531039909
28;1;CHUQUISACA;11002;HUACAYA (VILLA DE HUACAYA);2623;4869;7492;7,768403944;2,06035461;2,773956709
29;1;CHUQUISACA;11003;MACHARETI;6103;13634;19737;6,572679147;1,960325351;2,503580689
30;2;LA PAZ;20101;LA PAZ;366271;1164511;1530782;5,222723012;1,566510349;1,881701812
31;2;LA PAZ;20102;PALCA;7684;10622;18306;4,110837332;0,672930136;1,036937714
32;2;LA PAZ;20103;MECAPACA;4053;8398;12451;2,679895026;0,539368171;0,728877039
33;2;LA PAZ;20104;ACHOCALLA;4990;4866;9856;2,157006623;0,229147483;0,418538268
34;2;LA PAZ;20105;EL ALTO;363771;772839;1136610;3,542807018;0,968607337;1,262106917
35;2;LA PAZ;20201;ACHACACHI;6969;23537;30506;1,637498864;0,527278137;0,62391398
36;2;LA PAZ;20202;ANCORAIMES;3374;7202;10576;3,176226528;0,559026096;0,758387023
37;2;LA PAZ;20203;CHUA COCANI;395;2442;2837;1,070152182;0,493974601;0,534005397
38;2;LA PAZ;20204;HUARINA;1128;3494;4622;1,970993618;0,444355731;0,547930935
39;2;LA PAZ;20205;SANTIAGO DE HUATA;1676;5682;7358;2,485706792;0,675241989;0,809548582
40;2;LA PAZ;20206;HUATAJATA;1071;2847;3918;2,857383789;0,750399103;0,939838921
41;2;LA PAZ;20301;CORO CORO;2905;6688;9593;2,986245624;0,646907461;0,848096576
42;2;LA PAZ;20302;CAQUIAVIRI;1979;6845;8824;1,465050493;0,480468825;0,565738633
43;2;LA PAZ;20303;CALACOTO;1458;4766;6224;1,824313785;0,491552026;0,593042911
44;2;LA PAZ;20304;COMANCHE;463;1953;2416;1,272461217;0,51992406;0,586382209
45;2;LA PAZ;20305;CHARAÑA;498;2173;2671;1,597003464;0,693101393;0,774872784
46;2;LA PAZ;20306;WALDO BALLIVIAN;937;1455;2392;1,608850293;0,303046213;0,444308115
47;2;LA PAZ;20307;NAZACARA DE PACAJES;138;785;923;2,154107464;1,322187697;1,403211891
48;2;LA PAZ;20308;SANTIAGO DE CALLAPA;905;4643;5548;1,515400223;0,649516978;0,716278467
49;2;LA PAZ;20401;PUERTO ACOSTA;2506;7056;9562;2,846546424;0,635279145;0,797677976
50;2;LA PAZ;20402;MOCOMOCO;2169;8808;10977;1,462039772;0,581119765;0,659656126
51;2;LA PAZ;20403;PUERTO CARABUCO;2256;9580;11836;1,547060245;0,682411878;0,763775895
52;2;LA PAZ;20404;HUMANATA;431;2160;2591;0,92405333;0,414861342;0,456726272
