id,cod_dep,departamento,cod_mun,municipio,mujeres_con_4ta_consulta_ prenatal,cobertura
1,1,CHUQUISACA,10101,SUCRE,7875,"0,770275484"
2,1,CHUQUISACA,10102,YOTALA,133,"0,39972034"
3,1,CHUQUISACA,10103,POROMA,272,"0,43601538"
4,1,CHUQUISACA,10201,AZURDUY,184,"0,628457644"
5,1,CHUQUISACA,10202,TARVITA,263,"0,606793428"
6,1,CHUQUISACA,10301,ZUDAÑEZ,117,"0,611752989"
7,1,CHUQUISACA,10302,PRESTO,139,"0,536190348"
8,1,CHUQUISACA,10303,MOJOCOYA,128,"0,656338448"
9,1,CHUQUISACA,10304,ICLA,132,"0,493227467"
10,1,CHUQUISACA,10401,PADILLA,274,"0,899029471"
11,1,CHUQUISACA,10402,TOMINA,196,"0,724233036"
12,1,CHUQUISACA,10403,SOPACHUY,117,"0,53789247"
13,1,CHUQUISACA,10404,ALCALA,46,"0,416889979"
14,1,CHUQUISACA,10405,EL VILLAR,47,"0,45128542"
15,1,CHUQUISACA,10501,MONTEAGUDO,616,"0,859024762"
16,1,CHUQUISACA,10502,HUACARETA,176,"0,706090314"
17,1,CHUQUISACA,10601,TARABUCO,312,"0,62100897"
18,1,CHUQUISACA,10602,YAMPARAEZ,104,"0,480012954"
19,1,CHUQUISACA,10701,CAMARGO,429,"1,110860849"
20,1,CHUQUISACA,10702,SAN LUCAS,726,"0,80898543"
21,1,CHUQUISACA,10703,INCAHUASI,248,"0,617895268"
22,1,CHUQUISACA,10704,VILLA CHARCAS,285,"0,938635998"
23,1,CHUQUISACA,10801,VILLA SERRANO,162,"0,542486726"
24,1,CHUQUISACA,10901,CAMATAQUI (C. VILLA ABECIA),52,"0,623432548"
25,1,CHUQUISACA,10902,CULPINA,362,"0,809089888"
26,1,CHUQUISACA,10903,LAS CARRERAS,58,"0,607666502"
27,1,CHUQUISACA,11001,VILLA VACA GUZMAN (MUYUPAMPA),189,"0,638431258"
28,1,CHUQUISACA,11002,HUACAYA (VILLA DE HUACAYA),63,"0,948240573"
29,1,CHUQUISACA,11003,MACHARETI,168,"0,71280634"
30,2,LA PAZ,20101,LA PAZ,11885,"0,486172351"
31,2,LA PAZ,20102,PALCA,203,"0,478603132"
32,2,LA PAZ,20103,MECAPACA,107,"0,29639889"
33,2,LA PAZ,20104,ACHOCALLA,135,"0,293064015"
34,2,LA PAZ,20105,EL ALTO,13655,"0,4975343"
35,2,LA PAZ,20201,ACHACACHI,469,"0,395016462"
36,2,LA PAZ,20202,ANCORAIMES,165,"0,549986926"
37,2,LA PAZ,20203,CHUA COCANI,23,"0,195791383"
38,2,LA PAZ,20204,HUARINA,73,"0,396050786"
39,2,LA PAZ,20205,SANTIAGO DE HUATA,72,"0,394401453"
40,2,LA PAZ,20206,HUATAJATA,35,"0,374918178"
41,2,LA PAZ,20301,CORO CORO,82,"0,353214134"
42,2,LA PAZ,20302,CAQUIAVIRI,55,"0,221329789"
43,2,LA PAZ,20303,CALACOTO,22,"0,118882044"
44,2,LA PAZ,20304,COMANCHE,25,"0,361866778"
45,2,LA PAZ,20305,CHARAÑA,17,"0,307045075"
46,2,LA PAZ,20306,WALDO BALLIVIAN,21,"0,591580963"
47,2,LA PAZ,20307,NAZACARA DE PACAJES,5,"0,563394395"
48,2,LA PAZ,20308,SANTIAGO DE CALLAPA,31,"0,200257825"
49,2,LA PAZ,20401,PUERTO ACOSTA,123,"0,393375894"
50,2,LA PAZ,20402,MOCOMOCO,113,"0,41171105"
51,2,LA PAZ,20403,PUERTO CARABUCO,110,"0,320577425"
52,2,LA PAZ,20404,HUMANATA,32,"0,281904854"
53,2,LA PAZ,20405,ESCOMA,92,"0,696503203"
54,2,LA PAZ,20501,CHUMA,80,"0,238329584"
55,2,LA PAZ,20502,AYATA,65,"0,263548277"
56,2,LA PAZ,20503,AUCAPATA,31,"0,41348063"
57,2,LA PAZ,20601,SORATA,208,"0,443650719"
58,2,LA PAZ,20602,GUANAY,240,"1,010747269"
59,2,LA PAZ,20603,TACACOMA,86,"0,73104896"
60,2,LA PAZ,20604,QUIABAYA,35,"0,604834252"
61,2,LA PAZ,20605,COMBAYA,35,"0,664869493"
62,2,LA PAZ,20606,TIPUANI,220,"1,726995589"
63,2,LA PAZ,20607,MAPIRI,343,"1,728692921"
64,2,LA PAZ,20608,TEOPONTE,187,"1,277080855"
65,2,LA PAZ,20701,APOLO,301,"1,15522452"
66,2,LA PAZ,20702,PELECHUCO,65,"0,653091702"
67,2,LA PAZ,20801,VIACHA,939,"0,789508179"
68,2,LA PAZ,20802,GUAQUI,74,"0,351700996"
69,2,LA PAZ,20803,TIAWANACU,175,"0,549231376"
70,2,LA PAZ,20804,DESAGUADERO,86,"0,677079409"
71,2,LA PAZ,20805,SAN ANDRES DE MACHACA,45,"0,279885613"
72,2,LA PAZ,20806,JESUS DE MACHACA,215,"0,635858673"
