id;cod_dep;departamento;cod_mun;municipio;mujeres_con_4ta_consulta_ prenatal;cobertura
1;1;CHUQUISACA;10101;SUCRE                         ;8791;1,104396985
2;1;CHUQUISACA;10102;YOTALA                        ;133;1,023076923
3;1;CHUQUISACA;10103;POROMA                        ;233;0,732704403
4;1;CHUQUISACA;10201;AZURDUY                       ;190;0,840707965
5;1;CHUQUISACA;10202;TARVITA                       ;219;0,732441472
6;1;CHUQUISACA;10301;ZUDAÑEZ                       ;140;1,085271318
7;1;CHUQUISACA;10302;PRESTO                        ;128;0,695652174
8;1;CHUQUISACA;10303;MOJOCOYA                      ;112;0,842105263
9;1;CHUQUISACA;10304;ICLA                          ;126;0,768292683
10;1;CHUQUISACA;10401;PADILLA                       ;190;0,558823529
11;1;CHUQUISACA;10402;TOMINA                        ;162;1,025316456
12;1;CHUQUISACA;10403;SOPACHUY                      ;143;0,993055556
13;1;CHUQUISACA;10404;ALCALA                        ;50;1,020408163
14;1;CHUQUISACA;10405;EL VILLAR                     ;52;0,896551724
15;1;CHUQUISACA;10501;MONTEAGUDO                    ;725;1,029829545
16;1;CHUQUISACA;10502;HUACARETA                     ;192;1,215189873
17;1;CHUQUISACA;10601;TARABUCO                      ;279;0,752021563
18;1;CHUQUISACA;10602;YAMPARAEZ                     ;107;0,990740741
19;1;CHUQUISACA;10701;CAMARGO                       ;340;0,758928571
20;1;CHUQUISACA;10702;SAN LUCAS                     ;641;0,834635417
21;1;CHUQUISACA;10703;INCAHUASI                     ;234;0,876404494
22;1;CHUQUISACA;10704;VILLA CHARCAS                 ;265;0,835962145
23;1;CHUQUISACA;10801;VILLA SERRANO                 ;143;0,882716049
24;1;CHUQUISACA;10901;CAMATAQUI (C. VILLA ABECIA)   ;44;0,936170213
25;1;CHUQUISACA;10902;CULPINA                       ;358;0,957219251
26;1;CHUQUISACA;10903;LAS CARRERAS                  ;64;1,066666667
27;1;CHUQUISACA;11001;VILLA VACA GUZMAN (MUYUPAMPA) ;158;0,957575758
28;1;CHUQUISACA;11002;HUACAYA (VILLA DE HUACAYA)    ;42;0,677419355
29;1;CHUQUISACA;11003;MACHARETI                     ;154;1,855421687
30;2;LA PAZ    ;20101;LA PAZ                        ;14450;0,598591549
31;2;LA PAZ    ;20102;PALCA                         ;235;1,487341772
32;2;LA PAZ    ;20103;MECAPACA                      ;112;1,098039216
33;2;LA PAZ    ;20104;ACHOCALLA                     ;233;1,725925926
34;2;LA PAZ    ;20105;EL ALTO                       ;16448;0,885062419
35;2;LA PAZ    ;20201;ACHACACHI                     ;479;0,735791091
36;2;LA PAZ    ;20202;ANCORAIMES                    ;125;0,603864734
37;2;LA PAZ    ;20203;CHUA COCANI                   ;56;2,464574389
38;2;LA PAZ    ;20204;HUARINA                       ;48;0,71641791
39;2;LA PAZ    ;20205;SANTIAGO DE HUATA             ;64;0,60952381
40;2;LA PAZ    ;20206;HUATAJATA                     ;33;1,93194793
41;2;LA PAZ    ;20301;CORO CORO                     ;48;0,41025641
42;2;LA PAZ    ;20302;CAQUIAVIRI                    ;62;0,492063492
43;2;LA PAZ    ;20303;CALACOTO                      ;25;0,416666667
44;2;LA PAZ    ;20304;COMANCHE                      ;42;1,166666667
45;2;LA PAZ    ;20305;CHARAÑA                       ;18;0,666666667
46;2;LA PAZ    ;20306;WALDO BALLIVIAN               ;29;0,90625
47;2;LA PAZ    ;20307;NAZACARA DE PACAJES           ;6;0,629346674
48;2;LA PAZ    ;20308;SANTIAGO DE CALLAPA           ;33;0,523809524
49;2;LA PAZ    ;20401;PUERTO ACOSTA                 ;99;0,585798817
50;2;LA PAZ    ;20402;MOCOMOCO                      ;102;0,554347826
51;2;LA PAZ    ;20403;PUERTO CARABUCO               ;100;0,561797753
52;2;LA PAZ    ;20404;HUMANATA                      ;24;0,342857143
53;2;LA PAZ    ;20405;ESCOMA                        ;61;0,512605042
54;2;LA PAZ    ;20501;CHUMA                         ;61;0,465648855
55;2;LA PAZ    ;20502;AYATA                         ;49;0,352517986
56;2;LA PAZ    ;20503;AUCAPATA                      ;49;0,739520073
57;2;LA PAZ    ;20601;SORATA                        ;246;0,972332016
58;2;LA PAZ    ;20602;GUANAY                        ;313;1,304166667
59;2;LA PAZ    ;20603;TACACOMA                      ;99;1,076086957
60;2;LA PAZ    ;20604;QUIABAYA                      ;36;0,857142857
61;2;LA PAZ    ;20605;COMBAYA                       ;44;1,023255814
62;2;LA PAZ    ;20606;TIPUANI                       ;164;0,845360825
63;2;LA PAZ    ;20607;MAPIRI                        ;293;0,896024465
64;2;LA PAZ    ;20608;TEOPONTE                      ;209;1,060913706
65;2;LA PAZ    ;20701;APOLO                         ;241;0,772435897
66;2;LA PAZ    ;20702;PELECHUCO                     ;88;0,956521739
67;2;LA PAZ    ;20801;VIACHA                        ;1051;1,37565445
68;2;LA PAZ    ;20802;GUAQUI                        ;84;0,875
69;2;LA PAZ    ;20803;TIAWANACU                     ;122;0,519148936
70;2;LA PAZ    ;20804;DESAGUADERO                   ;98;0,951456311
71;2;LA PAZ    ;20805;SAN ANDRES DE MACHACA         ;44;0,75862069
72;2;LA PAZ    ;20806;JESUS DE MACHACA              ;125;0,518672199
73;2;LA PAZ    ;20807;TARACO                        ;45;0,75
74;2;LA PAZ    ;20901;LURIBAY                       ;102;0,962264151
75;2;LA PAZ    ;20902;SAPAHAQUI                     ;72;0,742268041
76;2;LA PAZ    ;20903;YACO                          ;79;0,576642336
77;2;LA PAZ    ;20904;MALLA                         ;10;0,227272727
78;2;LA PAZ    ;20905;CAIROMA                       ;162;0,91011236
79;2;LA PAZ    ;21001;INQUISIVI                     ;105;0,724137931
80;2;LA PAZ    ;21002;QUIME                         ;110;0,887096774
81;2;LA PAZ    ;21003;CAJUATA                       ;142;0,904458599
82;2;LA PAZ    ;21004;COLQUIRI                      ;191;0,520435967
83;2;LA PAZ    ;21005;ICHOCA                        ;29;0,46031746
84;2;LA PAZ    ;21006;LICOMA PAMPA                  ;13;0,464285714
85;2;LA PAZ    ;21101;CHULUMANI (V. DE LA LIBERTAD) ;380;0,853932584
86;2;LA PAZ    ;21102;IRUPANA (VILLA DE LANZA)      ;180;0,869565217
87;2;LA PAZ    ;21103;YANACACHI                     ;50;0,925925926
88;2;LA PAZ    ;21104;PALOS BLANCOS                 ;412;0,70790378
89;2;LA PAZ    ;21105;LA ASUNTA                     ;847;1,095730918
90;2;LA PAZ    ;21201;PUCARANI                      ;429;1,041262136
91;2;LA PAZ    ;21202;LAJA                          ;226;1,046296296
92;2;LA PAZ    ;21203;BATALLAS                      ;190;0,896226415
93;2;LA PAZ    ;21204;PUERTO PEREZ                  ;50;0,549450549
94;2;LA PAZ    ;21301;SICA SICA (VILLA AROMA)       ;203;0,598820059
95;2;LA PAZ    ;21302;UMALA                         ;78;0,527027027
96;2;LA PAZ    ;21303;AYO AYO                       ;88;0,698412698
97;2;LA PAZ    ;21304;CALAMARCA                     ;132;0,602739726
98;2;LA PAZ    ;21305;PATACAMAYA                    ;427;0,924242424
99;2;LA PAZ    ;21306;COLQUENCHA                    ;112;0,704402516
100;2;LA PAZ    ;21307;COLLANA                       ;32;0,941176471
101;2;LA PAZ    ;21401;COROICO                       ;242;0,576190476
102;2;LA PAZ    ;21402;CORIPATA                      ;228;1,1875
103;2;LA PAZ    ;21501;IXIAMAS                       ;235;1,398809524
104;2;LA PAZ    ;21502;SAN BUENA VENTURA             ;296;1,053380783
105;2;LA PAZ    ;21601;GRAL. J.J. PEREZ  (CHARAZANI) ;113;0,763513514
106;2;LA PAZ    ;21602;CURVA                         ;21;0,355932203
107;2;LA PAZ    ;21701;COPACABANA                    ;161;0,964071856
108;2;LA PAZ    ;21702;SAN PEDRO DE TIQUINA          ;39;0,672413793
109;2;LA PAZ    ;21703;TITO YUPANQUI (PARQUIPUJIO)   ;9;0,692307692
110;2;LA PAZ    ;21801;SAN PEDRO DE CURAHUARA        ;49;0,532608696
111;2;LA PAZ    ;21802;PAPEL PAMPA                   ;54;0,613636364
112;2;LA PAZ    ;21803;CHACARILLA                    ;16;1,142857143
113;2;LA PAZ    ;21901;SANTIAGO DE MACHACA           ;34;0,68
114;2;LA PAZ    ;21902;CATACORA                      ;4;0,402781871
115;2;LA PAZ    ;22001;CARANAVI                      ;1031;0,799224806
116;2;LA PAZ    ;22002;ALTO BENI                     ;112;0,691358025
117;3;COCHABAMBA;30101;COCHABAMBA                    ;13183;0,598683015
118;3;COCHABAMBA;30201;AIQUILE                       ;232;0,481327801
119;3;COCHABAMBA;30202;PASORAPA                      ;17;0,485714286
120;3;COCHABAMBA;30203;OMEREQUE                      ;69;0,811764706
121;3;COCHABAMBA;30301;AYOPAYA (V. DE INDEPENDENCIA) ;279;0,678832117
122;3;COCHABAMBA;30302;MOROCHATA                     ;120;0,582524272
123;3;COCHABAMBA;30303;COCAPATA                      ;188;0,606451613
124;3;COCHABAMBA;30401;TARATA                        ;150;1,327433628
125;3;COCHABAMBA;30402;ANZALDO                       ;58;0,563106796
126;3;COCHABAMBA;30403;ARBIETO                       ;291;1,450612928
127;3;COCHABAMBA;30404;SACABAMBA                     ;43;0,641791045
128;3;COCHABAMBA;30501;ARANI                         ;164;1,123287671
129;3;COCHABAMBA;30502;VACAS                         ;77;0,503267974
130;3;COCHABAMBA;30601;ARQUE                         ;109;0,402214022
131;3;COCHABAMBA;30602;TACOPAYA                      ;73;0,41954023
132;3;COCHABAMBA;30701;CAPINOTA                      ;335;1,200716846
133;3;COCHABAMBA;30702;SANTIVAÑES                    ;66;0,985074627
134;3;COCHABAMBA;30703;SICAYA                        ;34;0,653846154
135;3;COCHABAMBA;30801;CLIZA                         ;278;0,7120813
136;3;COCHABAMBA;30802;TOCO                          ;43;0,728813559
137;3;COCHABAMBA;30803;TOLATA                        ;147;2,409836066
138;3;COCHABAMBA;30901;QUILLACOLLO                   ;2679;1,119981228
139;3;COCHABAMBA;30902;SIPE SIPE                     ;1068;1,992537313
140;3;COCHABAMBA;30903;TIQUIPAYA                     ;1343;1,113598673
141;3;COCHABAMBA;30904;VINTO                         ;936;0,914956012
142;3;COCHABAMBA;30905;COLCAPIRHUA                   ;980;1,543307087
143;3;COCHABAMBA;31001;SACABA                        ;2989;1,127924528
144;3;COCHABAMBA;31002;COLOMI                        ;256;0,764179104
145;3;COCHABAMBA;31003;VILLA TUNARI                  ;1364;0,643396226
146;3;COCHABAMBA;31101;TAPACARI                      ;253;0,545258621
147;3;COCHABAMBA;31201;TOTORA(CBBA)                  ;141;0,444794953
148;3;COCHABAMBA;31202;POJO (CBBA)                   ;126;0,597156398
149;3;COCHABAMBA;31203;POCONA                        ;138;0,71875
150;3;COCHABAMBA;31204;CHIMORE                       ;358;1,591111111
151;3;COCHABAMBA;31205;PUERTO VILLARROEL             ;897;0,588196721
152;3;COCHABAMBA;31206;ENTRE RIOS CBBA               ;839;2,231382979
153;3;COCHABAMBA;31301;MIZQUE                        ;390;0,75
154;3;COCHABAMBA;31302;VILA VILA                     ;27;0,313953488
155;3;COCHABAMBA;31303;ALALAY                        ;19;0,351851852
156;3;COCHABAMBA;31401;PUNATA                        ;495;0,486247544
157;3;COCHABAMBA;31402;VILLA RIVERO                  ;111;1,305882353
158;3;COCHABAMBA;31403;SAN BENITO                    ;194;2,586666667
159;3;COCHABAMBA;31404;TACACHI                       ;2;0,2
160;3;COCHABAMBA;31405;CUCHUMUELA (V. G. VILLARROEL) ;20;1,333333333
