,departamento,municipio,establecimiento,direccion
2,BENI,BAURES,CAFETAL,Entre Avenida juan camacho y agaparco toledo
3,BENI,BAURES,CERRO SAN SIMON,frente ala cancha
4,BENI,BAURES,EL CAIRO,Lado de la Iglesia
5,BENI,BAURES,HUGO BANZER (BAURES),"AV./ PANDO, ENTRE C/LINARES Y C/PROGRESO"
6,BENI,BAURES,JASIAQUIRI,AV./1RO. DE MAYO S./N.
7,BENI,BAURES,REMANZO,Centro de Salud Remanzo
9,BENI,BAURES,TIQUIN,Calle 21 de Septiembre a una cuadra de la plaza principal
325,BENI,BAURES,TIQUIN,principal
11,BENI,EXALTACION,BENEDICTO VINCENTI ZAMBRANA,Calle sucre n11
12,BENI,EXALTACION,DR. GUIDO ROCA VILLAVICENCIO,Esquina de la plaza frente a la Iglesia
13,BENI,EXALTACION,SAN CARLOS,COMUNIDAD SAN CARLOS
14,BENI,EXALTACION,SANTA ISABEL,ZONA MORACUSAL
16,BENI,GUAYARAMERIN,1 DE MAYO,C/PRIMERO DE MAYO ESQ/REYES
18,BENI,GUAYARAMERIN,31 DE ENERO,1º DE MAYO/TARIJA Y MAX PAREDES
20,BENI,GUAYARAMERIN,BARRANCO COLORADO,CARRETERA A PUERTO SILES
22,BENI,GUAYARAMERIN,CACHUELA ESPERANZA,C/COSTANERA S/N
26,BENI,GUAYARAMERIN,COM. 1RO. DE MAYO,LADO DE LA ESCUELA
28,BENI,GUAYARAMERIN,GUAYARAGUAZU,c/ David Rey Cuellar entre c/ Nº4 y la Nº5
24,BENI,GUAYARAMERIN,GUAYARAMERIN,CALLE ORURO ESQ. COCHABAMBA
30,BENI,GUAYARAMERIN,LOS ALMENDROS,AV/LOS TAJIBOS ESQ/LA MARA
31,BENI,GUAYARAMERIN,P. S. VILLA BELLA,COMUNIDAD VILLA BELLA
33,BENI,GUAYARAMERIN,ROSARIO DEL YATA,B/27 DE ABRIL
35,BENI,GUAYARAMERIN,SAN GABRIEL,CALLE 18 DE NOVIEMBRE/6 DE AGOSTO/ MAMORE
343,BENI,GUAYARAMERIN,SAN GABRIEL,MAMORE
37,BENI,GUAYARAMERIN,SAN ISIDRO,CALLE SAN RAMON ESQ. PASAJE TECNICO
39,BENI,GUAYARAMERIN,SAN JOAQUIN,AV. SAN JUAQUIN ESQ.PASAJE INDUSTRIAL
41,BENI,GUAYARAMERIN,SAN LORENZO - GUAYARA,RIO MAMORE CARRETERA A PUERTO SILES
43,BENI,GUAYARAMERIN,SAN MIGUEL,CARRETERA A SANPEDRO KM 15
45,BENI,GUAYARAMERIN,SIMON BOLIVAR,ARMENTIA
46,BENI,HUARACAJE,EL CARMEN,calle 18 de noviembre entra
47,BENI,HUARACAJE,HUACARAJE,C/16 DE JULIO Y C/MON. CARLOS ANAZAGASTY
48,BENI,HUARACAJE,LA EMBROLLA,CARRETERA DE HUACARAJE A BAURE
49,BENI,LORETO,CAMIACO,COMUNIDAD DE CAMIACO
50,BENI,LORETO,EL ROSARIO,COMUNIDAD EL ROSARIO
51,BENI,LORETO,GUNDONOVIA,COMUNIDAD DE GUNDONOVIA
52,BENI,LORETO,LORETO,COMUNIDAD DE LORETO
53,BENI,LORETO,SACHOJERE,COMUNIDAD DE SACHOJERE
54,BENI,LORETO,SAN ANTONIO DE LORAS,COMUNIDAD DE SAN ANTONIO DE LORAS
55,BENI,LORETO,SAN PABLO DEL ISIBORO,SAN PABLO DEL ISIBORO
56,BENI,LORETO,VILLA EL CARMEN DEL REMANZO,COMUNIDAD DE VILLA EL CARMEN DE REMANZO
58,BENI,MAGDALENA,BELLA VISTA,AV. AEROPUERTO S/N
62,BENI,MAGDALENA,BUENA VISTA,LADO DE LA CAPITANIA
63,BENI,MAGDALENA,LA CAYOBA,CALLE 7 DE OCTUBRE S/N
60,BENI,MAGDALENA,MAGDALENA,C/ 6 DE AGOSTO N 50 ZONA 18 DE NOVIEMBRE
65,BENI,MAGDALENA,NUEVA BREMA,RIÓ BLANCO S/N
67,BENI,MAGDALENA,NUEVA CALAMA,ATRAS DE LA U.E. ÁNGEL CHA VEZ ARZA
69,BENI,MAGDALENA,OROBAYAYA,CALLE 18 DE NOVIEMBRE ESQUINA 27 DE MAYO
71,BENI,MAGDALENA,SAN BORJA,CALLE PRINCIPAL S/N
73,BENI,MAGDALENA,VERSALLES,ATRAZ DE LA PISTA DE ATERRIZAJE
75,BENI,PUERTO SILES,ALEJANDRIA,Zona central al lado de la del tanque de agua
77,BENI,PUERTO SILES,PUERTO SILES,Calle Jose Angulo S/N
79,BENI,PUERTO SILES,STA. ROSA DE VIGO,Calle principal
80,BENI,REYES,CALIFORNIA,CALIFORNIA
81,BENI,REYES,CARMEN ALTO DE HENESHUAYA,CARMEN ALTO DEL GENESHUAYA
82,BENI,REYES,PENA AMARILLA,Peña Amarilla
83,BENI,REYES,PUERTO CAVINAS,PUERTO CAVINAS
84,BENI,REYES,SAN JUAN DE DIOS,CALLE AMBROSIO GARCIA
85,BENI,RIBERALTA,12 DE OCTUBRE,CARRETERA RIBERALTA-GUAYARAMERIN KM 42
86,BENI,RIBERALTA,BELLA FLOR,CARRETERA RIBERALTA-SANTA ROSA KM 45
87,BENI,RIBERALTA,BUEN DESTINO,CARRETERA RIBERALTA A   KM
88,BENI,RIBERALTA,CANDELARIA,CARRETERA RIBERALTA-SANTA ROSA KM 37
90,BENI,RIBERALTA,CARCELETA PUBLICA RIBERALTA,CRUZ
390,BENI,RIBERALTA,CARCELETA PUBLICA RIBERALTA,BARRIO LA CRUZ
91,BENI,RIBERALTA,CHACOBOS,CARRETERA RIBERALTA-SANTA ROSA KM 150
92,BENI,RIBERALTA,CONAVI,BARRIO CONAVI. AV. JUAN CARLOS MENINI
94,BENI,RIBERALTA,CONSUELO DEL ROSARIO,CARRETERA RIBERALTA-CACHUELA ESPERANZA KM 54
394,BENI,RIBERALTA,CONSUELO DEL ROSARIO,54
95,BENI,RIBERALTA,CRISTO REY,BARRIO PERIODISTA AV. JACARANDA
96,BENI,RIBERALTA,DR. CESAR MOSCOSO C.,CALLE: JUAN ALBERDI  Nº 138
97,BENI,RIBERALTA,EL CERRITO,BARRIO CERRITO. AVENIDA MADRE DE DIOS S/N
98,BENI,RIBERALTA,LA ESPERANZA,AV. LA PAZ. CARRETERA RIBERALTA-SANTA ROSA
99,BENI,RIBERALTA,LA UNIDAD,AV. MARA
100,BENI,RIBERALTA,LOS CAYUCES,CARRETERA RIBERALTA-SANTA ROSA KM 141
101,BENI,RIBERALTA,NAZARETH,CARRETERA RIBERALTA-SANTA ROSA KM 83
103,BENI,RIBERALTA,PUEBLO NUEVO,NUEVO
405,BENI,RIBERALTA,PUEBLO NUEVO,PUEBLO NUEVO
104,BENI,RIBERALTA,RENE SALAZAR,CALLE OSCAR RIBERA
105,BENI,RIBERALTA,SAN ANDRES,AV. REYES Y AV. SANTA ROSA
106,BENI,RIBERALTA,SAN ANTONIO,CARRETERA RIBERALTA A GUAYARAMERIN
107,BENI,RIBERALTA,SAN JOSE,AV. FUERZA NAVAL
109,BENI,RIBERALTA,SAN JUAN,CARRETERA RIBERALTA-CACHUELA ESPERANZA KM 27
411,BENI,RIBERALTA,SAN JUAN,27
111,BENI,RIBERALTA,SANTA ELENA DEL LAGO,DESTINO
413,BENI,RIBERALTA,SANTA ELENA DEL LAGO,BUEN DESTINO
112,BENI,RIBERALTA,SANTA MARIA,CARRETERA RIBERALTA-SANTA FE DE PAMPA KM 25
416,BENI,RIBERALTA,SANTA MARIA,25
113,BENI,RIBERALTA,TAMARINDO,Barrio Tamarindo av. Bakaba
115,BENI,RIBERALTA,TARUMA,SIRSINALES
116,BENI,RIBERALTA,TUMICHUCUA,CARRETERA RIBERALTA-SANTA ROSA KM 24
117,BENI,RIBERALTA,WARNES,CARRETERA A LOMA ALTA-PANDO
119,BENI,RURRENABAQUE,ASUNCION DEL QUIQUIBEY,RURRENABAQUE RIO BENI ARRIBA
121,BENI,RURRENABAQUE,COLLANA,CARRETERA RURRENABAQUE - YUCUMO
123,BENI,RURRENABAQUE,EL CAUCHAL,CARRETERA RURRENABAQUE - YUCUMO
426,BENI,RURRENABAQUE,"EL CEBU ""DR CARLOS REYES ARAU","Z"" CARRETERA RURRENABAQUE - YUCUMO"
125,BENI,RURRENABAQUE,"EL CEBU ""DR CARLOS REYES ARAUZ""",CARRETERA RURRENABAQUE - YUCUMO
127,BENI,RURRENABAQUE,LOS SAUCES,BARRIO LOS SAUCES
129,BENI,RURRENABAQUE,NIÑO JESUS,CALLE 25 DE DICIEMBRE ESQ. CIRCUNVALACIÓN
130,BENI,RURRENABAQUE,NUEVO HORIZONTE,CARRETERA RURRENABAQUE - YUCUMO
