,departamento,municipio,establecimiento,direccion
378,CHUQUISACA,(MUYUPAMPA),AGUAIRENDA,aguayrenda
380,CHUQUISACA,(MUYUPAMPA),CUMANDAYTI,CUMANDAYTI
382,CHUQUISACA,(MUYUPAMPA),IRIPITI,IRIPITI
384,CHUQUISACA,(MUYUPAMPA),ITICUPE,iticupe
386,CHUQUISACA,(MUYUPAMPA),ITY,ITY
388,CHUQUISACA,(MUYUPAMPA),KARATINDY,karatindi
390,CHUQUISACA,(MUYUPAMPA),LA TAPERA,la tapera
392,CHUQUISACA,(MUYUPAMPA),MUYUPAMPA LEO SCHWARZ,muyupampa
394,CHUQUISACA,(MUYUPAMPA),SAN LEOLINO,IGUEMBE
396,CHUQUISACA,(MUYUPAMPA),SAPIRANGUIMIRI,sapiranguimiri
398,CHUQUISACA,(MUYUPAMPA),TAPERILLAS,TAPERILLAS
400,CHUQUISACA,(MUYUPAMPA),TENTAYAPE,TENTAYAPE
26,CHUQUISACA,ABECIA),COLPANAYOC,colpanayoc
28,CHUQUISACA,ABECIA),HIGUERAYOC,higuerayoc
30,CHUQUISACA,ABECIA),JAILIA,jailia
33,CHUQUISACA,ABECIA),SANTA MARIA VILLA  ABECIA,camataqui- villa abecia
2,CHUQUISACA,ALCALA,ALCALA,FINAL PEDRO DOMINGO SALAZAR
4,CHUQUISACA,ALCALA,LIMABAMBA,Limabamba
5,CHUQUISACA,ALCALA,MATELA ALTA,Matela alta
6,CHUQUISACA,AZURDUY,COLLPAMAYU,COMUNIDAD COLLPAMAYO
7,CHUQUISACA,AZURDUY,DR. GUSTAVO HAASE PEREZ,MUNICIPIO AZURDUY
8,CHUQUISACA,AZURDUY,DURAZNAL,CENTRO DE SALUD DURAZNAL
9,CHUQUISACA,AZURDUY,HUANCARANI,COMUNIDAD HUANCARANI
10,CHUQUISACA,AZURDUY,LAS ABRAS,COMUNIDAD DE HUANCARANI
11,CHUQUISACA,AZURDUY,PINOS,COMUNIDAD LOS PINOS
12,CHUQUISACA,AZURDUY,QUEWENAL,COMUNIDAD QUEWE?AL
13,CHUQUISACA,AZURDUY,RODEO CHICO,COMUNIDAD RODEO CHICO
14,CHUQUISACA,AZURDUY,SAN ROQUE,PUESTO DE SALUD SAN ROQUE
15,CHUQUISACA,AZURDUY,SANTA ROSA (CHQ),COMUNIDAD SANTA ROSA
16,CHUQUISACA,AZURDUY,TABLANI,COMUNIDAD TABLANI
17,CHUQUISACA,CAMARGO,CARPACHACRA,CARPACHACRA
18,CHUQUISACA,CAMARGO,CUEVAPAMPA,CUEVAPAMPA
19,CHUQUISACA,CAMARGO,FALSURI (CHQ),FALSURI
20,CHUQUISACA,CAMARGO,HUACACANCHA,HUACA CANCHA
21,CHUQUISACA,CAMARGO,MOLLINI,mollini
22,CHUQUISACA,CAMARGO,MUYUQUIRI,Camargo -muyuquiri
23,CHUQUISACA,CAMARGO,SUQUISTACA,SUQUISTACA
