,departamento,municipio,establecimiento,direccion
2,COCHABAMBA,AIQUILE,ELVIRA,Sobre la Carretera hacia Elvira lado sud
4,COCHABAMBA,AIQUILE,ESTANZUELAS,escuela Estanzuelas
5,COCHABAMBA,AIQUILE,LAGARPAMPA,Localidad lagarpampa lado oeste de la plaza
6,COCHABAMBA,AIQUILE,MATARAL (CBB),Comunidad Mataral
7,COCHABAMBA,AIQUILE,QUIROGA,carretera a su Sucre
9,COCHABAMBA,AIQUILE,VILLA GRANADO,iglesia
10,COCHABAMBA,ALALAY,ALALAY (MIZQUE),alalay
11,COCHABAMBA,ALALAY,AYAPAMPA,Comunidad de Ayapampa
12,COCHABAMBA,ALALAY,GUAMAN HUACHANA,guaman huachana municipio de alalay
13,COCHABAMBA,ALALAY,QUTURI,quturi
14,COCHABAMBA,ALALAY,SIVINGANI CHICO,sivingani chico municipio de alalay
15,COCHABAMBA,ALALAY,YANAGAGA,YANAGAGA
16,COCHABAMBA,ANZALDO,ANZALDO,ANZALDO
17,COCHABAMBA,ANZALDO,CRUZ KÂ´ASA,ANZALDO
18,COCHABAMBA,ANZALDO,JATUN CIENEGA (ALFA MAYU),ANZALDO
19,COCHABAMBA,ANZALDO,KALALLUSTA,ANZALDO
20,COCHABAMBA,ANZALDO,LA VIÑA,ANZALDO
21,COCHABAMBA,ANZALDO,MOLLINI,ANZALDO
22,COCHABAMBA,ANZALDO,PAJCHAPATA LUX,ANZALDO
23,COCHABAMBA,ANZALDO,PUCARA (CBB),ANZALDO
25,COCHABAMBA,ANZALDO,SAN ISIDRO - ANZALDO (CBBA),San Isidro
26,COCHABAMBA,ANZALDO,SAN JOSE (CBB-ANZALDO),ANZALDO
27,COCHABAMBA,ARANI,ARANI,Av. 11 de Octubre s/n
28,COCHABAMBA,ARANI,COLLPACIACO,CAMINO ARANI-COLLPACIACO KM 7
29,COCHABAMBA,ARANI,LAGUNITAS,LAGUNITAS
30,COCHABAMBA,ARANI,POCOATA,CAMINO ARANI-POCOATA
32,COCHABAMBA,ARANI,SAGA-SAGA,CAMINO ARANI-SAGA-SAGA KM. 26
33,COCHABAMBA,ARANI,SERRANO,SERRANO
34,COCHABAMBA,ARBIETO,20 DE OCTUBRE,20 de Octubre
35,COCHABAMBA,ARBIETO,ARANJUEZ,plaza principal de aranjuez
36,COCHABAMBA,ARBIETO,ARBIETO,"Arbieto, calle Estaban Arze"
37,COCHABAMBA,ARBIETO,COPAPUGIO,carretera  Tarata Cochabamba
38,COCHABAMBA,ARBIETO,KALUYO,kaluyo
39,COCHABAMBA,ARBIETO,LA LOMA (CBB),LA LOMA CBBA
40,COCHABAMBA,ARBIETO,LLAVE MAYU,km10 camino antiguo a santa cruz
41,COCHABAMBA,ARBIETO,MAMANACA,carretera a tarata
