,departamento,municipio,establecimiento,direccion
349,LA PAZ,(CHARAZANI),AMARETE,Athun Ayllu Amarete
351,LA PAZ,(CHARAZANI),CAATA,"Camino Curva, Comunidad Santa Rosa de Caata"
353,LA PAZ,(CHARAZANI),CHARAZANI,DE JULIO
355,LA PAZ,(CHARAZANI),CHULLINA,Localidad de Chullina frente a la cancha
357,LA PAZ,(CHARAZANI),COTAPAMPA,COMUNIDAD COTAPAMPA
359,LA PAZ,(CHARAZANI),FLORIDA (LPZ),QUITACALZON
361,LA PAZ,(CHARAZANI),HUATO,HUATO
363,LA PAZ,(CHARAZANI),SOTOPATA,APOLO
841,LA PAZ,(PARQUIPUJIO),HUATAPAMPA,COMUNIDAD HUATAPAMPA
843,LA PAZ,(PARQUIPUJIO),TITO YUPANQUI,junta vecinal porvenir
2,LA PAZ,ACHACACHI,ACHACACHI,c. 6 de Agosto
3,LA PAZ,ACHACACHI,AJLLATA GRANDE,CANTON AJLLATA GRANDE
4,LA PAZ,ACHACACHI,CHALUYO,MUNICIPIO ACHACACHI
5,LA PAZ,ACHACACHI,CHIJIPINA CHICO,CIUDAD DE ACHACACHI
6,LA PAZ,ACHACACHI,CHOJNACALA,plaza principal de chojnacala
7,LA PAZ,ACHACACHI,COCOTONI,comunidad cocotoni
8,LA PAZ,ACHACACHI,CORPAPUTO,CORPAPUTO
9,LA PAZ,ACHACACHI,FRASQUIA,COMUNIDAD FRASQUIA
10,LA PAZ,ACHACACHI,JANKO AMAYA,tercera plaza de jancko amaya
11,LA PAZ,ACHACACHI,JAPURAYA BAJA,JAPURAYA  BAJA
12,LA PAZ,ACHACACHI,MURUMAMANI,CANTON MURUMAMANI
14,LA PAZ,ACHACACHI,PUNGONHUYO,PONGONHUYO
15,LA PAZ,ACHACACHI,TACAMARA,COMUNIDAD TACAMARA
17,LA PAZ,ACHACACHI,TOLA TOLA,SANTIAGO DE HUATA
18,LA PAZ,ACHACACHI,UMACHA (FRANZ TAMAYO),COMUNIDAD DE CORPA CALA CALA
20,LA PAZ,ACHACACHI,VILLA CARMEN LIPE,HUATA
22,LA PAZ,ACHACACHI,WALATA GRANDE,WALATA GRANDE EN LA  PLAZA PRINCIPAL
24,LA PAZ,ACHACACHI,WARIZATA,FRENETE DE ESFM
