,departamento,municipio,establecimiento,direccion
0,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCIÓN
30,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,
2,ORURO,ANDAMARCA,CALAVILLCA,calavillca
3,ORURO,ANDAMARCA,LLOCO,LLOCO
4,ORURO,ANDAMARCA,ORINOCA,FINAL ANTOFAGASTA
5,ORURO,ANDAMARCA,ROSAPATA,ROSAPATA
6,ORURO,ANDAMARCA,ROSARIO,ROSAPATA
7,ORURO,ANDAMARCA,SANTIAGO DE ANDAMARCA,AV. DEL ESTUDIANTE S/N ESQUINA BALLIVIAN
8,ORURO,ANTEQUERA,ANTEQUERA,CALLEJON Nº 3 RIO ANTEQUERA
9,ORURO,ANTEQUERA,CHALLHUAMAYU,
11,ORURO,ANTEQUERA,TUTUNI,Antequera Provincia Poopo
12,ORURO,BELEN DE ANDAMARCA,BELEN DE ANDAMARCA,MUNICIPIO BELÉN DE ANDAMARCA
13,ORURO,BELEN DE ANDAMARCA,CALAMA,calama
14,ORURO,BELEN DE ANDAMARCA,CRUZ DE HUAYLLAMARCA,CRUZ DE HUAYLLAMARCA
15,ORURO,BELEN DE ANDAMARCA,REAL MACHACAMARCA,Real Machacamarca
16,ORURO,CARACOLLO,CAÑOHUMA,Central Cañohuma
17,ORURO,CARACOLLO,HUERTA PAMPA,Huertapampa
18,ORURO,CARACOLLO,HUNTUTA,HUNTUTA
19,ORURO,CARACOLLO,LA JOYA,Calle Bolivar
20,ORURO,CARACOLLO,LAJMA,CALLE LA PAZ
21,ORURO,CARACOLLO,MARKA NUEVA LLALLAGUA,Marka nueva llallagua
23,ORURO,CARACOLLO,OCOTAVI,a la ciudad de oruro
24,ORURO,CARACOLLO,SILLOTA BELEN,sillota belen
25,ORURO,CARACOLLO,SILLOTA VITO,zona este
26,ORURO,CARACOLLO,VENTILLA PONGO,Ventilla Pongo
27,ORURO,CARACOLLO,VILA VILA,VILA VILA
28,ORURO,CARANGAS,CARANGAS,A MEDIA CUADRA DE LA PLAZA
29,ORURO,CHALLAPATA,ANCACATO,
31,ORURO,CHALLAPATA,ANTACOLLO,Antacollo
32,ORURO,CHALLAPATA,C.S.A. 1º DE MAYO,TOMAS FRIAS ESQUINA LITORAL
33,ORURO,CHALLAPATA,CACACHACA,QAQACHACA
34,ORURO,CHALLAPATA,CRUCE CULTA,AVENIDA POTOSI
35,ORURO,CHALLAPATA,CULTA ANTIGUA,Lado U.E. Gualberto Villarroel
36,ORURO,CHALLAPATA,HUANCANE,huancane
37,ORURO,CHALLAPATA,HUANCARANI,HUANCARANI
38,ORURO,CHALLAPATA,HUCHUSUMA,huchusuma
40,ORURO,CHALLAPATA,LIVICHUCO,cancha Livichuco
41,ORURO,CHALLAPATA,NORTE CONDO,catavicollo
42,ORURO,CHALLAPATA,PARCO,DISTRITO MARKA QAQACHACA
43,ORURO,CHALLAPATA,SUMAJ CAUSAYPAJ,HÉROES DEL ACRE ENTRE RENGEL Y BALDIVIEZO
44,ORURO,CHALLAPATA,THOLAPALCA,P.S. Tolpalca
45,ORURO,CHIPAYA,AYPARAVI,AYPARAVI
46,ORURO,CHIPAYA,CHIPAYA,calle 6 de agosto
47,ORURO,CHOQUE COTA,CHOQUECOTA,CHOQUECOTA
48,ORURO,COIPASA,COIPASA,calle comercio entre franz tamayo
49,ORURO,CORQUE,CATAZA ANCARAVI,Ancaravi
51,ORURO,CORQUE,CORQUE,Pacotani
52,ORURO,CORQUE,HUAYLLAPACHA,huayllapacha
53,ORURO,CORQUE,HUMAMARCA,humamarca
56,ORURO,CORQUE,OPOQUERI,CHILE
57,ORURO,CORQUE,POMATA,pomata
58,ORURO,CORQUE,SAN ANTONIO (ORU),municipio de corque
59,ORURO,CORQUE,SAN JOSE DE KALA,SAN JOSE DE KALA
60,ORURO,CORQUE,SAN PEDRO DE HUAYLLOCO,huaylloco
61,ORURO,CORQUE,TARUCACHI,plaza
62,ORURO,CORQUE,VILLA COPACABANA,villacopacabana
63,ORURO,CORQUE,VILLA ESPERANZA,villa esperanza
65,ORURO,CRUZ DE MACHACAMARCA,CRUZ DE MACHACAMARCA,CRUZ DE MACHACAMARCA
66,ORURO,CURAHUARA DE CARANGAS,CULTA II,culta
67,ORURO,CURAHUARA DE CARANGAS,CURAHUARA DE CARANGAS,23 de marzo
