,departamento,municipio,establecimiento,direccion
41,PANDO,ABUNA,1RO. DE MAYO,comunidad 1ro de mayo
43,PANDO,ABUNA,PUERTO MORALES,Puerto Morales
45,PANDO,ABUNA,SANTA ROSA - PANDO,SANTA ROSA
2,PANDO,BELLA FLOR,BELLA FLOR (V. AMAZONICA),Km. 49 carretera porvenir Puerto Rico
3,PANDO,BELLA FLOR,CON CAMAS SANTA LUCIA,Km. 86 carretara porvenir puerto rico
4,PANDO,BELLA FLOR,EL CARMEN,Comunidad El Carmen
5,PANDO,BELLA FLOR,PUERTO EVO,Comunidad Puerto Evo
6,PANDO,BELLA FLOR,SAN ANTONIO,SAN ANTONIO
7,PANDO,BELLA FLOR,SANTA LOURDES,comunidad santa lourdes
8,PANDO,BELLA FLOR,SANTA RITA (KM 70),Comunidad Santa Rita
9,PANDO,BOLPEBRA,BOLPEBRA,COM. SAN PEDRO
10,PANDO,BOLPEBRA,MUKDEN,COM. MUKDEN
11,PANDO,BOLPEBRA,NAREUDA,COM. NAREUDA  MUNICIPIO BOLPEBRA
12,PANDO,BOLPEBRA,YAMINAGUAS,COM.  YAMINAGUA
13,PANDO,COBIJA,27 DE MAYO,B/ 27 de mayo S/N
14,PANDO,COBIJA,ALTO BAHIA,carretera cobija porvenir
15,PANDO,COBIJA,CD-VIR / PANDO,"Av. Pando, B/ Santa Clara"
16,PANDO,COBIJA,COBIJA,calle Ernesto Nishikawa
17,PANDO,COBIJA,MAPAJO,B/MAPAJO Av. Chelio Luna Pizarro
18,PANDO,COBIJA,NUEVA ESPERANZA,comunidad nueva esperanza
19,PANDO,COBIJA,NUEVO TRIUNFO,nuevo triunfo
20,PANDO,COBIJA,PETROLERO,B/Petrolero
22,PANDO,COBIJA,SANTA CLARA,225
23,PANDO,COBIJA,VILLA BUSCH,carretera porvenir
47,PANDO,ESPERANZA,ARCA DE ISRAEL,MADERA
49,PANDO,ESPERANZA,NUEVA ESPERANZA,comunidad nueva esperanza
51,PANDO,ESPERANZA,PUERTO CONSUELO II,COMUNIDAD PUERTO CONSUELO II
29,PANDO,FILADELFIA,BUYUYO,comunidad buyuyo/municipio de filadelfia
30,PANDO,FILADELFIA,CHIVE,comunidad chive
33,PANDO,FILADELFIA,EMPRESINHA,comunidad empresiña/municipio de filadelfia
34,PANDO,FILADELFIA,FILADELFIA,comunidad de  filadelfia
35,PANDO,FILADELFIA,LUZ DE AMERICA,municipio de filadelfia
37,PANDO,FILADELFIA,SOBERANIA,comunidad soberania/ municipio de filadelfia
38,PANDO,INGAVI (HUMAITA),HUMAITA,Humaytha
39,PANDO,INGAVI (HUMAITA),INGAVI,Comunidad Ingavi
25,PANDO,MERCADO),RESERVA,COMUNIDAD RESERVA
27,PANDO,MERCADO),SAN MARTIN,COMUNUÇIDAD SAN MARTIN
56,PANDO,MORENO,AGUA DULCE,COMUNIDAD AGUA DULCE
58,PANDO,MORENO,BUEN FUTURO,COMUNIDAD BUEN FUTURO
60,PANDO,MORENO,CONTRAVARICIA,COMUNIDAD CONTRAVARICIA
62,PANDO,MORENO,FRONTERA,COMUNIDAD FRONTERA
64,PANDO,MORENO,GONZALO MORENO,COMUNIDAD GONZALO MORENO
67,PANDO,MORENO,LAS PIEDRAS,COMUNIDAD LAS PIEDRAS
69,PANDO,MORENO,MIRAFLORES,COMUNIDAD MIRAFLORES
71,PANDO,MORENO,PORTACHUELO,COMUNIDAD PORTACHUELO MEDIO
52,PANDO,PORVENIR,SAN JOSE,San Jose
53,PANDO,PORVENIR,SAN MARTIN DE PORRES,Barrio Senac..Calle Senac
54,PANDO,PORVENIR,VILLA ROJAS,Localidad de Villa Rojas
72,PANDO,PUERTO RICO,BATRAJA,BATRAJA
73,PANDO,PUERTO RICO,CONQUISTA,CONQUISTA
75,PANDO,PUERTO RICO,PUERTO RICO,AV. 18 DE MAYO -VILLA ESPERANZA
76,PANDO,SAN LORENZO(PND),BLANCA FLOR,COMUNIDAD BLANCA FLOR
78,PANDO,SAN LORENZO(PND),GALILEA,LORENZO
81,PANDO,SAN LORENZO(PND),NARANJAL,LORENZO
83,PANDO,SAN LORENZO(PND),TRINIDASITO,SAN LORENZO
84,PANDO,SAN LORENZO(PND),VISTA  ALEGRE,comunidad de vista alegre
85,PANDO,SAN PEDRO(PND),FORTALEZA,rio orthon
86,PANDO,SAN PEDRO(PND),LOMA VELARDE,rio orthon
87,PANDO,SAN PEDRO(PND),TRES ESTRELLAS,RIO MADRE DE DIOS
88,PANDO,SAN PEDRO(PND),VALPARAISO,RIO MADRE DE DIOS
89,PANDO,SENA,EL SENA,AV. NAPOLEON ANTELO HULLMAN
90,PANDO,SENA,PALMA REAL,COMUNIDAD PALMA REAL
92,PANDO,VILLA NUEVA (LOMA ALTA),BELLA BRISA,Sin registro
94,PANDO,VILLA NUEVA (LOMA ALTA),ENAREWENA,enarewena
96,PANDO,VILLA NUEVA (LOMA ALTA),LOMA ALTA,loma alta
98,PANDO,VILLA NUEVA (LOMA ALTA),PERSEVERANCIA,perseverancia
101,PANDO,VILLA NUEVA (LOMA ALTA),SANTA CRUSITO,COMUNIDAD SANTA CRUSITO
103,PANDO,VILLA NUEVA (LOMA ALTA),SANTA FE,SANTA EF
