,departamento,municipio,establecimiento,direccion
2,POTOSI,"""CAIZA """"D""""""",CALTAPI PUNKU,CALTAPI PUNKU
3,POTOSI,"""CAIZA """"D""""""",CUCHU INGENIO,Cucho Ingenio
4,POTOSI,"""CAIZA """"D""""""",FRAGUA,FRAGUA
5,POTOSI,"""CAIZA """"D""""""",HORNOS,kilometro 65 Carretera Potosi - Tarija
6,POTOSI,"""CAIZA """"D""""""",LA LAVA,LA LAVA
7,POTOSI,"""CAIZA """"D""""""",PANCOCHI,pancochi
8,POTOSI,"""CAIZA """"D""""""",SAN MARTIN DE PORRES,AV. VILLAZON S/N
9,POTOSI,"""CAIZA """"D""""""",TRES CRUCES,TRES CRUCES
10,POTOSI,"""CAIZA """"D""""""",TUCTAPARI,Tuctapari
11,POTOSI,"""COLCHA """"K""""""",AGUA DE CASTILLA NOR LIPEZ,AGUA DE CASTILLA
12,POTOSI,"""COLCHA """"K""""""","CALCHA ""K""",Belgica entre 6 agosto sin numero
13,POTOSI,"""COLCHA """"K""""""",CIENEGUILLAS,cieneguillas
14,POTOSI,"""COLCHA """"K""""""",COCANI,Cocani
15,POTOSI,"""COLCHA """"K""""""","COLCHA ""K""",COLCHA K
17,POTOSI,"""COLCHA """"K""""""",COPACABANA,cruz
18,POTOSI,"""COLCHA """"K""""""","CULPINA ""K""",WILAKARA Y LITORAL
19,POTOSI,"""COLCHA """"K""""""",POZO CABADO,Pozo Cabado
20,POTOSI,"""COLCHA """"K""""""",RIO GRANDE,Bolivar
21,POTOSI,"""COLCHA """"K""""""",SAN CRISTOBAL,San Cristobal
22,POTOSI,"""COLCHA """"K""""""",SAN JUAN - POTOSI,Comunidad de San Juan
23,POTOSI,"""COLCHA """"K""""""","SANTIAGO ""K""","SANTIAGO ""K"""
25,POTOSI,"""COLCHA """"K""""""",SANTIAGO DE AGENCHA,CALLE BOLIVAR INGRESO A LA POBLACION
26,POTOSI,"""COLCHA """"K""""""",VILAMA,vilama
27,POTOSI,"""COLCHA """"K""""""",VILLA MAR,villa ma
28,POTOSI,"""COLCHA """"K""""""","VILUYO ""K""",viluyo
29,POTOSI,"""COLCHA """"K""""""",ZONIQUERA,ZONIQUERA
30,POTOSI,ACACIO,ACACIO,ACACIO
32,POTOSI,ACACIO,CHURITACA,churitaca
33,POTOSI,ACACIO,KIRUSILLANI,kirusillani
34,POTOSI,ACACIO,PIRIQUINA,piriquina
35,POTOSI,ACACIO,TORNO K`ASA,niñokollu
36,POTOSI,ACACIO,TOTOROMA,Sobre la carretera a Santiago
37,POTOSI,ARAMPAMPA,ASANQUIRI,ASANQUIRI
38,POTOSI,ARAMPAMPA,CALACHUA,CALACHUA
39,POTOSI,ARAMPAMPA,KOARACA,koaraca
40,POTOSI,ARAMPAMPA,RENATO CASTRO,Calle Final Eustaquio Bilbao Rioja
42,POTOSI,ARAMPAMPA,SANTIAGO,arampampa- potosi
43,POTOSI,ARAMPAMPA,SARCURI,sarcuri
44,POTOSI,ATOCHA,ANIMAS,ANIMAS
45,POTOSI,ATOCHA,CIVIL ATOCHA,Sin registro
46,POTOSI,ATOCHA,GUADALUPE,guadalupe
47,POTOSI,ATOCHA,SAN VICENTE,SAN VICENTE
48,POTOSI,ATOCHA,SANTA BARBARA,ZONA H
49,POTOSI,ATOCHA,SIETE SUYOS,BARRIO PERFORISTA
50,POTOSI,ATOCHA,TATASI,BARRIO PALOMAR
51,POTOSI,ATOCHA,TELEMAYU,final AV.Aramayo
52,POTOSI,BELEN DE URMIRI,BELEN DE URMIRI,Localidad Belén de Urmiri
53,POTOSI,BELEN DE URMIRI,PUITUCO,LOCALIDAD PUITUCO
54,POTOSI,BELEN DE URMIRI,VACUYO,LOCALIDAD VACUYO
55,POTOSI,BETANZOS,ANCOMAYU,comunidad ancomayu
56,POTOSI,BETANZOS,AVAROA,CALLE POTOSI S/N
57,POTOSI,BETANZOS,BETANZOS,Sin registro
58,POTOSI,BETANZOS,BUEY TAMBO,BUEY TAMBO
59,POTOSI,BETANZOS,C.S. POCO POCO,COMUNIDAD DE POCO POCO
60,POTOSI,BETANZOS,C.S. URIFAYA,urifaya
61,POTOSI,BETANZOS,CHACPI GRANDE,chajpi grande
62,POTOSI,BETANZOS,HUANU HUANU,huanu huanu
63,POTOSI,BETANZOS,KOA KOA,KOA  KOA
64,POTOSI,BETANZOS,LA FLORIDA,laflorida
66,POTOSI,BETANZOS,LAGUNILLAS,LAGUNILLAS
67,POTOSI,BETANZOS,MAMAHOTA,MAMAHOTA
68,POTOSI,BETANZOS,MARIACA,MARIACA
69,POTOSI,BETANZOS,MILLARES,millres
70,POTOSI,BETANZOS,OTUYO,localidad Otuyo
71,POTOSI,BETANZOS,P.S. TROJOPAMPA,troja pampa
72,POTOSI,BETANZOS,POTOBAMBA,betanzos potobamba
73,POTOSI,BETANZOS,QUIVI QUIVI,quivi quivi media
74,POTOSI,BETANZOS,QUIVINCHA,Comunidad Quivincha
75,POTOSI,BETANZOS,SAN BLAS DE PUITA,San Blas  de  puita
77,POTOSI,BETANZOS,SAN PEDRO DE COILA,de Colila
78,POTOSI,BETANZOS,SIPORO,comunidad siporo
79,POTOSI,BETANZOS,TIRISPAYA,tirispaya
80,POTOSI,BETANZOS,TIRQUIBUCO,COMUNIDAD TIRQUIBUCO
81,POTOSI,BETANZOS,TRAPICHE BAJO,trapichebajo
82,POTOSI,BETANZOS,VILA VILA,vilavila
83,POTOSI,BETANZOS,VILLA CARMEN,comunidad lequezana
84,POTOSI,BETANZOS,VILLA NUEVA,villanueva
85,POTOSI,BETANZOS,VIÑA QUEMADA,VIÑA QUEMADA
