                                   ESTABLECIMIENTOS DE SALUD DE 1ER NIVEL SANTA CRUZ,,,
,,,
DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCIÓN
SANTA CRUZ,ASCENCION DE GUARAYOS,CERRO GRANDE,CARRETERA SANTACRUZ - TRINIDAD
SANTA CRUZ,ASCENCION DE GUARAYOS,GUARAYOS,CALLE HNA BERTOLDA S/N
,,,
SANTA CRUZ,ASCENCION DE GUARAYOS,MUNICIPAL SANTA ROSA,BARRIO SANTA ROSA FRENTE A CASA DE LA TERCERA EDAD
SANTA CRUZ,ASCENCION DE GUARAYOS,NUEVA JERUSALEN,NUEVA JERUSALEN 2DA CALLE A LADO DERECHO
SANTA CRUZ,ASCENCION DE GUARAYOS,SAN ANDREZ,COMUNIDAD DE SAN ANDRES
,,,CARRETERA SANTA CRUZ-BENI COMUNIDAD SAN ANTONIO
SANTA CRUZ,ASCENCION DE GUARAYOS,SAN ANTONIO EL JUNTE,MANZANO 8
SANTA CRUZ,ASCENCION DE GUARAYOS,SAN PABLO,SAN PABLO
SANTA CRUZ,ASCENCION DE GUARAYOS,SANTA MARIA,C/SANTA MARIA CARRETERA TRINIDAD
SANTA CRUZ,BOYUIBE,CHOROQUETAL,sobre la carretera boyuibe-paraguay
SANTA CRUZ,BOYUIBE,FRAY LEON BIAGGINI,calle fray leon biaggini final 24 de septiembre
SANTA CRUZ,BOYUIBE,LAGUNA CAMATINDI,laguna camatindi
,,,calle camilo cabrera entre heroes del chaco y 24 de
SANTA CRUZ,BOYUIBE,PRIMERO DE MAYO,septiembre
SANTA CRUZ,BOYUIBE,VIRGEN DE FATIMA-RBOY,Pueblo Benimerito calle daniel salamanca final este
SANTA CRUZ,BUENA VISTA,ARBOLEDA,ARBOLEDA CARRETERA PRINCIPAL SANTA CRUZ
SANTA CRUZ,BUENA VISTA,CARANDA,CARANDA BUENA VISTA ICHILO SANTA CRUZ
SANTA CRUZ,BUENA VISTA,EL CARMEN,EL CARMEN  SURUTU
SANTA CRUZ,BUENA VISTA,ESPEJITOS,ESPEJITOS MUNICIPIO DE BUENA VISTA
SANTA CRUZ,BUENA VISTA,HUAYTU,HUAYTU
SANTA CRUZ,BUENA VISTA,PALACIO,Palacios
SANTA CRUZ,BUENA VISTA,ROQUE AGUILERA,BARRIO CELSO SANDOVAL (AV. JUAN SULIBAN)
SANTA CRUZ,BUENA VISTA,SAN ISIDRO,San Isidro
SANTA CRUZ,BUENA VISTA,SAN MIGUEL,SAN MIGUEL CARRETERA A CARANDA
SANTA CRUZ,BUENA VISTA,VILLA DIEGO,VILLA DIEGO-BUENA VISTA-ICHILO-SANTA CRUZ
SANTA CRUZ,CABEZAS,ABAPO,Abapo Este
SANTA CRUZ,CABEZAS,BRECHA 7,al norte de la comunidad  san lorenzo brecha 7
DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCIÓN
SANTA CRUZ,CABEZAS,CABEZAS,Av. jose Graciales frente ala plaza principal
SANTA CRUZ,CABEZAS,FLORIDA,en el centro de la comunidad florida
SANTA CRUZ,CABEZAS,MORA,Carretera Camiri km 86 Barrio Virginia
SANTA CRUZ,CABEZAS,PAMPA EL COSTAL,PAMPA DEL COSCAL
SANTA CRUZ,CABEZAS,RIO SECO,Rio Seco /Barrio Ferroviario
SANTA CRUZ,CABEZAS,SAN JUAN DE CAMARGO,SAN JUAN DE CAMARGO FRENTE A LA IGLESIA
SANTA CRUZ,CABEZAS,ZANJA HONDA,Carretera camiri Km 66
SANTA CRUZ,CAMIRI,CHORETI,Comunidad Chorety
SANTA CRUZ,CAMIRI,GUASUIGUA,Comunidad de Guasuigua
SANTA CRUZ,CAMIRI,GUIRARAPO,Comunidad Guirarapo
SANTA CRUZ,CAMIRI,ITANAMBICUA,Comunidad Itanambikua
SANTA CRUZ,CAMIRI,LA WILLIAN,Av. Carlos Daher Harp (Bo Villa El Carmen)
SANTA CRUZ,CAMIRI,PENA BLANCA,Calle Tatarenda y Calle Boyuibe
SANTA CRUZ,CAMIRI,PIPI,Comunidad Pipi
SANTA CRUZ,CAMIRI,RODEO,RODEO
SANTA CRUZ,CAMIRI,SAN FRANCISCO,Calle Francisco Cesar Benedetti - Barrio Lindo
SANTA CRUZ,CAMIRI,SAN JOSE LA ABRA,Barrio San Jose Av. Ofman antunez y calle curupau
SANTA CRUZ,CAMIRI,SAN JOSE OBRERO,Barrio Iturralde
SANTA CRUZ,CAMIRI,URUNDAITY,URUNDAITY
SANTA CRUZ,CAMIRI,VIRGEN DE FATIMA,Calle German Busch casi Calle Manchego
,,,ZONA RINCON DEL TIGRE APROXIMADAMENTE 100KM DE
SANTA CRUZ,CARMEN RIVERO TORREZ,BOCAINA,EL CARMEN RT
SANTA CRUZ,CARMEN RIVERO TORREZ,CANDELARIA,CARRETERA BIOCEANICA A 50 KM. DEL CARMEN RT
SANTA CRUZ,CARMEN RIVERO TORREZ,NUESTRA SEÑORA DEL CARMEN,CALLE PARI BARRIO ROSENHAMER
SANTA CRUZ,CARMEN RIVERO TORREZ,RINCON DEL TIGRE,RINCÓN DEL TIGRE MISIÓN EVANGÉLICA
SANTA CRUZ,CARMEN RIVERO TORREZ,SANTA ANA,CARRETARA BIOCEANICA A 25KM DEL CARMEN RT
SANTA CRUZ,CHARAGUA,C.S.A. CHARAGUA,CALLE SANTA CRUZ
SANTA CRUZ,CHARAGUA,COPERE LOMA,COPERE LOMA
SANTA CRUZ,CHARAGUA,CUARIRENDA,CUARIRENDA
SANTA CRUZ,CHARAGUA,DR. ROBERTO UGARTE,ESTACION CHARAGUA
SANTA CRUZ,CHARAGUA,EL ESPINO,EL ESPINO
SANTA CRUZ,CHARAGUA,ISIPORENDA,ISIPORENDA
DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCIÓN
SANTA CRUZ,CHARAGUA,ITATIQUI,ITATIQUI
SANTA CRUZ,CHARAGUA,ITAYU,ITAYU
SANTA CRUZ,CHARAGUA,JOSE IYAMBAE,JOSE IYAMBAE
SANTA CRUZ,CHARAGUA,KAPIGUAZUTI,KAPIGUAZUTI
SANTA CRUZ,CHARAGUA,MAMERTO EGUEZ SORUCO,CHARAGUA
SANTA CRUZ,CHARAGUA,MASAVI,MASAVI
SANTA CRUZ,CHARAGUA,P.S. AGUARATY,P.S. AGUARATY
SANTA CRUZ,CHARAGUA,RANCHO NUEVO,RANCHO NUEVO
