,departamento,municipio,establecimiento,direccion
2,SANTA CRUZ,ASCENCION DE GUARAYOS,CERRO GRANDE,CARRETERA SANTACRUZ - TRINIDAD
3,SANTA CRUZ,ASCENCION DE GUARAYOS,GUARAYOS,CALLE HNA BERTOLDA S/N
5,SANTA CRUZ,ASCENCION DE GUARAYOS,MUNICIPAL SANTA ROSA,BARRIO SANTA ROSA FRENTE A CASA DE LA TERCERA EDAD
6,SANTA CRUZ,ASCENCION DE GUARAYOS,NUEVA JERUSALEN,NUEVA JERUSALEN 2DA CALLE A LADO DERECHO
7,SANTA CRUZ,ASCENCION DE GUARAYOS,SAN ANDREZ,COMUNIDAD DE SAN ANDRES
9,SANTA CRUZ,ASCENCION DE GUARAYOS,SAN ANTONIO EL JUNTE,MANZANO 8
10,SANTA CRUZ,ASCENCION DE GUARAYOS,SAN PABLO,SAN PABLO
11,SANTA CRUZ,ASCENCION DE GUARAYOS,SANTA MARIA,C/SANTA MARIA CARRETERA TRINIDAD
12,SANTA CRUZ,BOYUIBE,CHOROQUETAL,sobre la carretera boyuibe-paraguay
13,SANTA CRUZ,BOYUIBE,FRAY LEON BIAGGINI,calle fray leon biaggini final 24 de septiembre
14,SANTA CRUZ,BOYUIBE,LAGUNA CAMATINDI,laguna camatindi
16,SANTA CRUZ,BOYUIBE,PRIMERO DE MAYO,septiembre
17,SANTA CRUZ,BOYUIBE,VIRGEN DE FATIMA-RBOY,Pueblo Benimerito calle daniel salamanca final este
18,SANTA CRUZ,BUENA VISTA,ARBOLEDA,ARBOLEDA CARRETERA PRINCIPAL SANTA CRUZ
19,SANTA CRUZ,BUENA VISTA,CARANDA,CARANDA BUENA VISTA ICHILO SANTA CRUZ
20,SANTA CRUZ,BUENA VISTA,EL CARMEN,EL CARMEN  SURUTU
21,SANTA CRUZ,BUENA VISTA,ESPEJITOS,ESPEJITOS MUNICIPIO DE BUENA VISTA
22,SANTA CRUZ,BUENA VISTA,HUAYTU,HUAYTU
23,SANTA CRUZ,BUENA VISTA,PALACIO,Palacios
24,SANTA CRUZ,BUENA VISTA,ROQUE AGUILERA,BARRIO CELSO SANDOVAL (AV. JUAN SULIBAN)
25,SANTA CRUZ,BUENA VISTA,SAN ISIDRO,San Isidro
26,SANTA CRUZ,BUENA VISTA,SAN MIGUEL,SAN MIGUEL CARRETERA A CARANDA
27,SANTA CRUZ,BUENA VISTA,VILLA DIEGO,VILLA DIEGO-BUENA VISTA-ICHILO-SANTA CRUZ
28,SANTA CRUZ,CABEZAS,ABAPO,Abapo Este
29,SANTA CRUZ,CABEZAS,BRECHA 7,al norte de la comunidad  san lorenzo brecha 7
31,SANTA CRUZ,CABEZAS,CABEZAS,Av. jose Graciales frente ala plaza principal
32,SANTA CRUZ,CABEZAS,FLORIDA,en el centro de la comunidad florida
33,SANTA CRUZ,CABEZAS,MORA,Carretera Camiri km 86 Barrio Virginia
34,SANTA CRUZ,CABEZAS,PAMPA EL COSTAL,PAMPA DEL COSCAL
35,SANTA CRUZ,CABEZAS,RIO SECO,Rio Seco /Barrio Ferroviario
36,SANTA CRUZ,CABEZAS,SAN JUAN DE CAMARGO,SAN JUAN DE CAMARGO FRENTE A LA IGLESIA
37,SANTA CRUZ,CABEZAS,ZANJA HONDA,Carretera camiri Km 66
38,SANTA CRUZ,CAMIRI,CHORETI,Comunidad Chorety
39,SANTA CRUZ,CAMIRI,GUASUIGUA,Comunidad de Guasuigua
40,SANTA CRUZ,CAMIRI,GUIRARAPO,Comunidad Guirarapo
41,SANTA CRUZ,CAMIRI,ITANAMBICUA,Comunidad Itanambikua
42,SANTA CRUZ,CAMIRI,LA WILLIAN,Av. Carlos Daher Harp (Bo Villa El Carmen)
43,SANTA CRUZ,CAMIRI,PENA BLANCA,Calle Tatarenda y Calle Boyuibe
44,SANTA CRUZ,CAMIRI,PIPI,Comunidad Pipi
45,SANTA CRUZ,CAMIRI,RODEO,RODEO
46,SANTA CRUZ,CAMIRI,SAN FRANCISCO,Calle Francisco Cesar Benedetti - Barrio Lindo
47,SANTA CRUZ,CAMIRI,SAN JOSE LA ABRA,Barrio San Jose Av. Ofman antunez y calle curupau
48,SANTA CRUZ,CAMIRI,SAN JOSE OBRERO,Barrio Iturralde
49,SANTA CRUZ,CAMIRI,URUNDAITY,URUNDAITY
50,SANTA CRUZ,CAMIRI,VIRGEN DE FATIMA,Calle German Busch casi Calle Manchego
52,SANTA CRUZ,CARMEN RIVERO TORREZ,BOCAINA,EL CARMEN RT
53,SANTA CRUZ,CARMEN RIVERO TORREZ,CANDELARIA,CARRETERA BIOCEANICA A 50 KM. DEL CARMEN RT
54,SANTA CRUZ,CARMEN RIVERO TORREZ,NUESTRA SEÑORA DEL CARMEN,CALLE PARI BARRIO ROSENHAMER
55,SANTA CRUZ,CARMEN RIVERO TORREZ,RINCON DEL TIGRE,RINCÓN DEL TIGRE MISIÓN EVANGÉLICA
56,SANTA CRUZ,CARMEN RIVERO TORREZ,SANTA ANA,CARRETARA BIOCEANICA A 25KM DEL CARMEN RT
57,SANTA CRUZ,CHARAGUA,C.S.A. CHARAGUA,CALLE SANTA CRUZ
58,SANTA CRUZ,CHARAGUA,COPERE LOMA,COPERE LOMA
59,SANTA CRUZ,CHARAGUA,CUARIRENDA,CUARIRENDA
60,SANTA CRUZ,CHARAGUA,DR. ROBERTO UGARTE,ESTACION CHARAGUA
61,SANTA CRUZ,CHARAGUA,EL ESPINO,EL ESPINO
62,SANTA CRUZ,CHARAGUA,ISIPORENDA,ISIPORENDA
64,SANTA CRUZ,CHARAGUA,ITATIQUI,ITATIQUI
65,SANTA CRUZ,CHARAGUA,ITAYU,ITAYU
66,SANTA CRUZ,CHARAGUA,JOSE IYAMBAE,JOSE IYAMBAE
67,SANTA CRUZ,CHARAGUA,KAPIGUAZUTI,KAPIGUAZUTI
68,SANTA CRUZ,CHARAGUA,MAMERTO EGUEZ SORUCO,CHARAGUA
69,SANTA CRUZ,CHARAGUA,MASAVI,MASAVI
70,SANTA CRUZ,CHARAGUA,P.S. AGUARATY,P.S. AGUARATY
71,SANTA CRUZ,CHARAGUA,RANCHO NUEVO,RANCHO NUEVO
72,SANTA CRUZ,CHARAGUA,SAN ANTONIO,SAN ANTONIO DEL PARAPETI
73,SANTA CRUZ,CHARAGUA,SAN LORENZO,SAN LORENZO
74,SANTA CRUZ,CHARAGUA,TAPUTA,TAPUTA
75,SANTA CRUZ,CHARAGUA,TARENDA,FRENTE DE LA IGLESIA
76,SANTA CRUZ,CHARAGUA,YAPIROA,YAPIROA
77,SANTA CRUZ,CHARAGUA,YOVI,IYOVI
78,SANTA CRUZ,COLPA BELGICA,EL CEDRO,comunidad el cedro
79,SANTA CRUZ,COLPA BELGICA,SAN SILVESTRE,Barrio Largo Colpa
80,SANTA CRUZ,COMARAPA,PULQUINA,CALLE SANTA CRUZ S/N
82,SANTA CRUZ,COMARAPA,PULQUINA ARRIBA,SEMIDO CABELLO
83,SANTA CRUZ,COMARAPA,SAN ISIDRO,SAN ISIDRO (CARRETERA A JAGUE)
85,SANTA CRUZ,COMARAPA,SAN JUAN DEL POTRERO,"PLAZA PRINCIPAL, LOCALIDAD SAN JUAN DEL POTRERO"
86,SANTA CRUZ,COMARAPA,SAN MARTIN DE PORRES,AV. SAN MARTIN
87,SANTA CRUZ,COMARAPA,SAN MATEO,CARRETERA SAN MATEO
89,SANTA CRUZ,COMARAPA,SIBERIA,COMUNIDAD SIBERIA CAMINO ANTIGUO A COCHABAMBA
90,SANTA CRUZ,COMARAPA,TORRECILLAS,TORRECILLAS
91,SANTA CRUZ,CONCEPCION,CANDELARIA,candelaria
92,SANTA CRUZ,CONCEPCION,CESAR BANZER,CALLE SIRINGA ESQ. ÑUFLO DE CHAVEZ
93,SANTA CRUZ,CONCEPCION,DISTRITO 5 EL PALMAR,FRENTE A LA PLAZA PRINCIPAL DE LA COMUNIDAD
95,SANTA CRUZ,CONCEPCION,EL CARMEN,PROQUIO
97,SANTA CRUZ,CONCEPCION,MAKANATE,ZONA MONTE VERDE
99,SANTA CRUZ,CONCEPCION,PALMARITO,FRENTE A LA PLAZA PRINCIPAL DIAGONAL DE LA CAPILLA
100,SANTA CRUZ,CONCEPCION,SAN PEDRO,A UNA CUADRA DE LA PLAZA PRINCIPAL CALLE S/N.
101,SANTA CRUZ,COTOCA,BISITO,COMUNIDAD EL BISITO
102,SANTA CRUZ,COTOCA,CAMPANERO,calle#4
105,SANTA CRUZ,COTOCA,COTOCA,Sin registro
106,SANTA CRUZ,COTOCA,DON CHICHI,urbanizacion don chichi calle 16
107,SANTA CRUZ,COTOCA,DON LORENZO,Comunidad Don Lorenzo 15Km al Sur Este de Cotoca
108,SANTA CRUZ,COTOCA,ENCONADA,Urbanización Doña Irma S/N
110,SANTA CRUZ,COTOCA,LOS TAJIBOS - COTOCA,Se encuentra al Este 9.1/2 km  del municipio de Cotoca
112,SANTA CRUZ,COTOCA,MAPAIZO,COMUNIDAD MAPAIZO AL FRENTE DE LA SUBALCALDIA
113,SANTA CRUZ,COTOCA,PUERTO PAILAS,Puerto Pailas Avenida Principal- Zona Central
115,SANTA CRUZ,COTOCA,TAROPE,agosto
116,SANTA CRUZ,CUATRO CAÑADAS,4 CAÑADAS,Av. Bolivar Barrio San Antonio
117,SANTA CRUZ,CUATRO CAÑADAS,NUEVA ESPERANZA,B/NUEVA ESPERANZA
118,SANTA CRUZ,CUATRO CAÑADAS,SAN MIGUEL DE LA FLORIDA,Carretera Santa Cruz Trinidad a 72 Km de Santa Cruz
119,SANTA CRUZ,CUEVO,EL ARENAL,A 7 Km. de Cuevo al Norte
120,SANTA CRUZ,CUEVO,HUARACA,De  Cuevo a 83 Km. Asia Noreste
121,SANTA CRUZ,CUEVO,IVICUATI,Ruta 9 Camiri - Yacuiba a 45Km.
123,SANTA CRUZ,CUEVO,SALINAS,AL SUR)
124,SANTA CRUZ,CUEVO,SAN JUAN BAUTISTA,C./ Pasaje Reyelo Entre C./ Comercio y Sucre
125,SANTA CRUZ,CUEVO,TARATAGALITO,Carretera a camiri 10km. de cuevo
126,SANTA CRUZ,EL PUENTE(STC),EL PUENTE,BARRIOS 24 DE SEPTIEMBRE
128,SANTA CRUZ,EL PUENTE(STC),NUCLEO 47 - 10 NOV.,ANGELES
130,SANTA CRUZ,EL PUENTE(STC),NUCLEO 50,NUCLEO 50
