,departamento,municipio,establecimiento,direccion
2,TARIJA,BERMEJO,21 DE DICIEMBRE,avenida 21 de diciembre
3,TARIJA,BERMEJO,ARROZALES,Comunidad de Arrozales
5,TARIJA,BERMEJO,AZUCARERO,ARANCIBIA
6,TARIJA,BERMEJO,BARREDERO,COMUNIDAD COLONIA BARREDERO
7,TARIJA,BERMEJO,CAMPO GRANDE,COMUNIDAD CAMPO GRANDE
8,TARIJA,BERMEJO,CANDADO GRANDE,CANDADO GRANDE
9,TARIJA,BERMEJO,CENTRAL,barrio central jardin botanico
10,TARIJA,BERMEJO,COLONIA LINARES,COMUNIDAD COLONIA LINARES
11,TARIJA,BERMEJO,MOTO MENDEZ,CALLE HEROES DEL CHACO Y GERMAN BUSCH
12,TARIJA,BERMEJO,NARANJITOS,COMUNIDAD NARANJITOS
13,TARIJA,BERMEJO,PORCELANA,PORCELANA
15,TARIJA,BERMEJO,SAN JOSE,BERMEJO TARIJA
16,TARIJA,BERMEJO,SAN ROQUE,CALLE BENI ESQ. BOLIVAR
17,TARIJA,BERMEJO,SANTA ROSA,COMUNIDAD SANTA ROSA
18,TARIJA,CARAPARI,AGUA BLANCA,comunidad de agua blanca sobre la calle principal
19,TARIJA,CARAPARI,BERETY CHACO,Comunidad Berety Chaco Municipio de Carapari
21,TARIJA,CARAPARI,CAMPO LARGO,a Tarija
22,TARIJA,CARAPARI,CAMPO LARGO HITO 22,Comunidad de Campo Largo Hito 22
23,TARIJA,CARAPARI,CANAVERAL,Comunidad Canaveral calle principal
24,TARIJA,CARAPARI,CANITAS,Comunidad de Canitas sobre la ruta principal
26,TARIJA,CARAPARI,CARAPARI,Manuel Cuellar
27,TARIJA,CARAPARI,INIGUAZU,Comunidad de Iniguazu
28,TARIJA,CARAPARI,ITAPERENDA,Comunidad Itaperenda calle principal
30,TARIJA,CARAPARI,ITAU,Comunidad de Itau calle principal frente a la iglesia
32,TARIJA,CARAPARI,LA CENTRAL,Comunidad la Central calle principal
33,TARIJA,CARAPARI,LAS SIDRAS,Comunidad de las Sidras sobre la calle principal
34,TARIJA,CARAPARI,LOMA ALTA,comunidad de Loma Alta
35,TARIJA,CARAPARI,SALADILLO,Comunidad de Saladillo calle principal
36,TARIJA,CARAPARI,SAN ALBERTO,Comunidad de San Alberto
37,TARIJA,CARAPARI,SAN NICOLAS,Cominidad de San Nicolas Minicipio de Carapari
39,TARIJA,CARAPARI,ZAPATERA,Comunidad de Zapatera Norte sobre la calle principal
40,TARIJA,EL PUENTE(TJA),"C.S.A. ""SAN LORENCITO""",comunidad san lorencito
41,TARIJA,EL PUENTE(TJA),CARRIZAL,carrizal
42,TARIJA,EL PUENTE(TJA),CHORCOYA MENDEZ,chorcoya mendez
43,TARIJA,EL PUENTE(TJA),CURQUI,CURQUI
44,TARIJA,EL PUENTE(TJA),EL PUENTE,Av. 24 de Septiembre s/n
45,TARIJA,EL PUENTE(TJA),HUARMACHI,huarmachi
52,TARIJA,EL PUENTE(TJA),ISCAYACHI,COMUNIDAD DE ISCAYACHI
46,TARIJA,EL PUENTE(TJA),PAICHO CENTRO,Paicho Centro
47,TARIJA,EL PUENTE(TJA),PAICHO SUD,Caña Cruz
48,TARIJA,EL PUENTE(TJA),SAN FRANCISCO,SAN FRANCISCO
49,TARIJA,EL PUENTE(TJA),SANTA ANA DE BELEN,Santa Ana de Belen
50,TARIJA,EL PUENTE(TJA),TOMAYAPO,TOMAYAPO
53,TARIJA,ENTRE RIOS  TRJ,CHIQUIACA,COMUNIDAD DE CHIQUIACA
55,TARIJA,ENTRE RIOS  TRJ,HUAYCO CENTRO,llegar al puente
56,TARIJA,ENTRE RIOS  TRJ,IBOPEITY ENTRE RIOS,comunidad ibopeity al lado de la unidad educativa
58,TARIJA,ENTRE RIOS  TRJ,KUMANDAROTY,EDUCATIVA
59,TARIJA,ENTRE RIOS  TRJ,LA CUEVA,comunidad La Cueva
60,TARIJA,ENTRE RIOS  TRJ,LAGUNITAS,FRENTE LA CANCHA DE FUTBOL
61,TARIJA,ENTRE RIOS  TRJ,NARVAEZ,Comunidad Narvaez al lado del Internado
62,TARIJA,ENTRE RIOS  TRJ,NAURENDA,COMUNIDAD DE NAURENDA FRENTE AL COLEGIO
63,TARIJA,ENTRE RIOS  TRJ,PALOS BLANCOS,PALOS BLANCOS
66,TARIJA,ENTRE RIOS  TRJ,PAMPA REDONDA (ENTRE RIOS),Comunidad Pampa Redonda al lado de la Escuela
67,TARIJA,ENTRE RIOS  TRJ,POTRERILLOS,CARRETERA A TIMBOY  FRENTE AL CENTRO PAN
68,TARIJA,ENTRE RIOS  TRJ,PUERTO MARGARITA,COMUNIDAD ZAPATERAMBIA
70,TARIJA,ENTRE RIOS  TRJ,SALADITO,Comunida Saladito Centro frente a la Cancha de futbol
71,TARIJA,ENTRE RIOS  TRJ,SALINAS,a lado de la escula
72,TARIJA,ENTRE RIOS  TRJ,SAN DIEGO NORTE,comunidad san Diego Norte  frente a la cancha
74,TARIJA,ENTRE RIOS  TRJ,SAN JOSECITO,princiapl al lado de la iglesia
75,TARIJA,ENTRE RIOS  TRJ,SERERE SUD,SERERE SUD
76,TARIJA,ENTRE RIOS  TRJ,SIVINGAL,COMUNIDAD SIVINGAL
77,TARIJA,ENTRE RIOS  TRJ,SUARURO,SUARURO ANTES DE LA IGLESIA
78,TARIJA,ENTRE RIOS  TRJ,TABASAY,tabasay
80,TARIJA,ENTRE RIOS  TRJ,TARUPAYO,tambo
81,TARIJA,ENTRE RIOS  TRJ,TENTAHUAZU,al lado de la cancha
82,TARIJA,ENTRE RIOS  TRJ,TENTAPIAU,COMUNIDAD TENTAPIAU AREA TARUPAYO
83,TARIJA,ENTRE RIOS  TRJ,TIMBOY,comunidad timboy centro
85,TARIJA,ENTRE RIOS  TRJ,VALLE DEL MEDIO,Educativa
86,TARIJA,ENTRE RIOS  TRJ,VALLECITO LOS LAPACHOS,Vallecito los Lapachos a lado de la escuela
87,TARIJA,ENTRE RIOS  TRJ,YUATY,YUATI
88,TARIJA,ENTRE RIOS  TRJ,YUQUIMBIA,COMUNIDAD YUQUIMBIA- AREA TARUPAYO
90,TARIJA,PADCAYA,CAMACHO,escuela
92,TARIJA,PADCAYA,CANAS,cruce entre carretera a mecoya y camacho (padcaya)
93,TARIJA,PADCAYA,CHAGUAYA,CALLE 3 - CHAGUAYA
94,TARIJA,PADCAYA,EL CARMEN (PAD),EL CARMEN
95,TARIJA,PADCAYA,EL LIMAL,frente de la escula de la comunidad del el limal
96,TARIJA,PADCAYA,EL SALADO,LADO DE LA UNIDAD EDUCATIVA
97,TARIJA,PADCAYA,EMBOROZU,LADO EMPRESA CIABOL - CARRETERA A BERMERJO
99,TARIJA,PADCAYA,LA HUERTA,LA HUERTA A LADO DE LA UNIDAD EDUCATIVA
100,TARIJA,PADCAYA,LA MAMORA,AV. BERMEJO
102,TARIJA,PADCAYA,LA MERCED,"LA MERCED a lado de la iglesia catolica ,frenta a la plaza"
103,TARIJA,PADCAYA,MARANUELOS,LADO UNIDAD EDUCATIVA
104,TARIJA,PADCAYA,MECOYA,mecoya - zona centro
105,TARIJA,PADCAYA,MOTOVI,lado familia lopez
106,TARIJA,PADCAYA,OROZAS,OROZAS ARRIBA
107,TARIJA,PADCAYA,PADCAYA,av. Bermejo carretera Bermejo barrio lindo
108,TARIJA,PADCAYA,PUESTO 27,LADO DE LA UNIDAD EDUCATIVA
109,TARIJA,PADCAYA,QUEBRADA DE CANAS,LADO UNIDAD EDUCATIVA
110,TARIJA,PADCAYA,REJARA,FRENTE UNIDAD EDUCATIVA REJARA CENTRO
111,TARIJA,PADCAYA,RIO NEGRO,A 50 METROS DE LA CANCHA DE FUTBOL
112,TARIJA,PADCAYA,ROSILLAS,ROSILLAS CENTRO
113,TARIJA,PADCAYA,SALADO CONCHAS,Salado conchas
114,TARIJA,PADCAYA,SAN FRANCISCO PADCAYA,LADO CANCHA DE FUTBOL
115,TARIJA,PADCAYA,SAN JOSE,LADO CANCHA DE FUTBOL  DE SAN JOSE TARIQUIA
117,TARIJA,PADCAYA,SAN TELMO,ESCUELA VIEJA SOBRE LA CARRETERA
118,TARIJA,PADCAYA,TARIQUIA,frente ala unidad educativa godolfredo arnold
119,TARIJA,PADCAYA,TREMENTINAL,trementinal
120,TARIJA,PADCAYA,VALLE DORADO,LADO CANCHA DE FUTBOL
121,TARIJA,PADCAYA,VOLCAN BLANCO,LADO UNIDAD EDUCATIVA
122,TARIJA,SAN LORENZO(TJA),ALAYPATA,COMUNIDAD DE ALAYPATA
124,TARIJA,SAN LORENZO(TJA),CAMARON,COMUNIDAD DE CAMARON AL LADO DE LA ESCUELA
125,TARIJA,SAN LORENZO(TJA),CANASMORO,COMUNIDAD DE CANASMORO
127,TARIJA,SAN LORENZO(TJA),CARACHIMAYO,COMUNIDAD DE CARACHIMAYO AL LADO DE LA IGLESIA
129,TARIJA,SAN LORENZO(TJA),COCHAS,PRINCIPAL
131,TARIJA,SAN LORENZO(TJA),COIMATA,EDUCATIVA
133,TARIJA,SAN LORENZO(TJA),ERQUIS,COMUNIDAD DE ERQUIS NORTE
134,TARIJA,SAN LORENZO(TJA),JARCAS,Jarcas frente al nucleo
136,TARIJA,SAN LORENZO(TJA),LA VITORIA,PLAZA SOBRE LA AV. PRINCIPAL
138,TARIJA,SAN LORENZO(TJA),LEON CANCHA,COMUNIDAD DE LEON CANCHA FRENTE A LA IGLESIA
140,TARIJA,SAN LORENZO(TJA),PAMPA GRANDE,DE MAYO
