id,cod_dep,departamento,cod_mun,municipio,nacidos_vivos,nacidos_vivos_atendidos_por_personal_de_salud,nacidos_muertos,nacidos_muertos_atendidos_por_personal_de_salud,total_general
1,1,CHUQUISACA,10101,SUCRE,6472,99,62,,6633
2,1,CHUQUISACA,10102,YOTALA,110,,2,,112
3,1,CHUQUISACA,10103,POROMA,116,2,128,7,253
4,1,CHUQUISACA,10201,AZURDUY,77,,134,4,215
5,1,CHUQUISACA,10202,TARVITA,227,3,61,4,295
6,1,CHUQUISACA,10301,ZUDAÑEZ,66,1,26,1,94
7,1,CHUQUISACA,10302,PRESTO,28,,121,5,154
8,1,CHUQUISACA,10303,MOJOCOYA,78,,44,1,123
9,1,CHUQUISACA,10304,ICLA,74,4,58,2,138
10,1,CHUQUISACA,10401,PADILLA,256,8,12,,276
11,1,CHUQUISACA,10402,TOMINA,152,3,18,1,174
12,1,CHUQUISACA,10403,SOPACHUY,121,2,27,1,151
13,1,CHUQUISACA,10404,ALCALA,35,,11,,46
14,1,CHUQUISACA,10405,EL VILLAR,45,,8,,53
15,1,CHUQUISACA,10501,MONTEAGUDO,593,6,27,1,627
16,1,CHUQUISACA,10502,HUACARETA,111,1,19,,131
17,1,CHUQUISACA,10601,TARABUCO,221,5,97,,323
18,1,CHUQUISACA,10602,YAMPARAEZ,81,,11,,92
19,1,CHUQUISACA,10701,CAMARGO,308,9,40,,357
20,1,CHUQUISACA,10702,SAN LUCAS,348,8,310,3,669
21,1,CHUQUISACA,10703,INCAHUASI,136,1,172,,309
22,1,CHUQUISACA,10704,VILLA CHARCAS,168,,111,2,281
23,1,CHUQUISACA,10801,VILLA SERRANO,137,2,39,,178
24,1,CHUQUISACA,10901,CAMATAQUI (C. VILLA ABECIA),28,,9,,37
25,1,CHUQUISACA,10902,CULPINA,234,7,122,3,366
26,1,CHUQUISACA,10903,LAS CARRERAS,38,,5,,43
27,1,CHUQUISACA,11001,VILLA VACA GUZMAN (MUYUPAMPA),117,,32,1,150
28,1,CHUQUISACA,11002,HUACAYA (VILLA DE HUACAYA),20,,12,,32
29,1,CHUQUISACA,11003,MACHARETI,52,,18,,70
30,2,LA PAZ,20101,LA PAZ,19533,291,27,,19851
31,2,LA PAZ,20102,PALCA,37,,62,1,100
32,2,LA PAZ,20103,MECAPACA,45,,34,2,81
33,2,LA PAZ,20104,ACHOCALLA,86,2,11,,99
34,2,LA PAZ,20105,EL ALTO,15141,250,51,2,15444
35,2,LA PAZ,20201,ACHACACHI,350,4,216,1,571
36,2,LA PAZ,20202,ANCORAIMES,80,1,97,3,181
37,2,LA PAZ,20203,HUARINA,19,,31,,50
38,2,LA PAZ,20204,SANTIAGO DE HUATA,11,,64,2,77
39,2,LA PAZ,20301,CORO CORO,34,,76,,110
40,2,LA PAZ,20302,CAQUIAVIRI,23,,76,,99
41,2,LA PAZ,20303,CALACOTO,3,,59,,62
42,2,LA PAZ,20304,COMANCHE,1,,31,1,33
43,2,LA PAZ,20305,CHARAÑA,4,,26,,30
44,2,LA PAZ,20306,WALDO BALLIVIAN,,,31,,31
45,2,LA PAZ,20307,NAZACARA DE PACAJES,3,,8,,11
46,2,LA PAZ,20308,SANTIAGO DE CALLAPA,25,,49,,74
47,2,LA PAZ,20401,PUERTO ACOSTA,19,,72,,91
48,2,LA PAZ,20402,MOCOMOCO,39,1,108,1,149
49,2,LA PAZ,20403,PUERTO CARABUCO,13,,112,,125
50,2,LA PAZ,20404,HUMANATA,6,,44,,50
51,2,LA PAZ,20405,ESCOMA,87,5,2,,94
52,2,LA PAZ,20501,CHUMA,33,2,63,1,99
53,2,LA PAZ,20502,AYATA,23,,98,,121
